"index","word","meaning","pos","rank"
"1368","complicado","complicated, complex","adj","1368"
"1369","añadir","to add","v","1369"
"1370","marca","mark, brand, trademark","nf","1370"
"1371","girar","to rotate, revolve","v","1371"
"1372","ilusión","illusion, hope, dream","nf","1372"
"1373","os","you (obj pl fam)","pron","1373"
"1374","compra","shopping, buy, purchase","nf","1374"
"1375","inteligencia","intelligence","nf","1375"
"1376","volar","to fly","v","1376"
"1377","loco","crazy, insane","adj","1377"
"1378","virtud","virtue, quality","nf","1378"
"1379","remedio","alternative, cure, solution","nm","1379"
"1380","delicado","delicate","adj","1380"
"1381","facilitar","to facilitate","v","1381"
"1382","territorio","territory","nm","1382"
"1383","facultad","faculty, ability","nf","1383"
"1384","solicitar","to solicit, request","v","1384"
"1385","fotografía","photograph","nf","1385"
"1386","techo","ceiling, roof","nm","1386"
"1387","temer","to fear","v","1387"
"1388","conducta","conduct, behavior","nf","1388"
"1389","violento","violent","adj","1389"
"1390","aquél","that one over there (m)","pron","1390"
"1391","salto","jump, hop, skip","nm","1391"
"1392","pan","bread","nm","1392"
"1393","atacar","to attack","v","1393"
"1394","sano","healthy, wholesome [also saludable]","adj","1394"
"1395","pegar","to hit, stick on","v","1395"
"1396","juzgar","to judge","v","1396"
"1397","limpio","clean","adj","1397"
"1398","disposición","disposal, disposition","nf","1398"
"1399","posterior","rear, backside","adj","1399"
"1400","general","general (nm)","nm","1400"
"1401","disciplina","discipline, subject","nf","1401"
"1402","relacionado","related, regarding","adj","1402"
"1403","habitual","usual, habitual, customary","adj","1403"
"1404","personal","personnel, staff, staffing (nm)","nm","1404"
"1405","interrumpir","to interrupt","v","1405"
"1406","columna","column, spine","nf","1406"
"1407","verdaderamente","truly","adv","1407"
"1408","fabricar","to manufacture","v","1408"
"1409","únicamente","only [also solamente]","adv","1409"
"1410","nervioso","nervous, uptight","adj","1410"
"1411","indio","Indian","nm","1411"
"1412","gato","cat","nm","1412"
"1413","margen","edge, margin, border, brink","nmf","1413"
"1414","material","material (adj)","adj","1414"
"1415","resistencia","resistance, opposition","nf","1415"
"1416","consciente","conscious, aware","adj","1416"
"1417","pérdida","loss","nf","1417"
"1418","tratamiento","treatment, processing","nm","1418"
"1419","entrevista","interview, meeting","nf","1419"
"1420","espectáculo","spectacle, show","nm","1420"
"1421","personalidad","personality, celebrity","nf","1421"
"1422","mayo","May","nm","1422"
"1423","confiar","to trust, confide","v","1423"
"1424","operar","to operate","v","1424"
"1425","representación","representation","nf","1425"
"1426","régimen","regime, diet","nm","1426"
"1427","punta","tip, point","nf","1427"
"1428","vital","vital, lively, essential","adj","1428"
"1429","alegría","joy, happiness","nf","1429"
"1430","basar","to base on, base upon","v","1430"
"1431","igualmente","equally","adv","1431"
"1432","misión","mission, task","nf","1432"
"1433","estimar","to estimate, hold in esteem","v","1433"
"1434","cotidiano","daily (adj)&nbsp;[also diario]","adj","1434"
"1435","confirmar","to confirm","v","1435"
"1436","empleo","work, job, occupation","nm","1436"
"1437","previo","previous","adj","1437"
"1438","participación","participation, involvement","nf","1438"
"1439","integrar","to integrate, fit in","v","1439"
"1440","período","period, time","nm","1440"
"1441","busca","search, hunt","nf","1441"
"1442","superficie","surface, area","nf","1442"
"1443","aprobar","to pass a test, approve","v","1443"
"1444","chino","Chinese","adj","1444"
"1445","pasión","passion, desire","nf","1445"
"1446","vehículo","vehicle, car","nm","1446"
"1447","inteligente","intelligent","adj","1447"
"1448","grabar","to record, engrave","v","1448"
"1449","enero","January","nm","1449"
"1450","capítulo","chapter","nm","1450"
"1451","fracaso","failure, collapse","nm","1451"
"1452","experto","expert","nm","1452"
"1453","inquietud","restlessness, anxiety","nf","1453"
"1454","nuevamente","anew, again","adv","1454"
"1455","once","eleven","num","1455"
"1456","listo","ready, clever, smart","adj","1456"
"1457","equivocar","to be wrong","v","1457"
"1458","organismo","organization, organism, human body","nm","1458"
"1459","canción","song","nf","1459"
"1460","religión","religion","nf","1460"
"1461","correspondiente","corresponding","adj","1461"
"1462","departamento","department, apartment","nm","1462"
"1463","generalmente","generally, usually","adv","1463"
"1464","periodista","journalist","nc","1464"
"1465","seguido","in a row, successive","adj","1465"
"1466","llorar","to cry","v","1466"
"1467","griego","Greek","adj","1467"
"1468","interpretación","interpretation, interpreting","nf","1468"
"1469","maestro","master (adj)","adj","1469"
"1470","barato","inexpensive","adj","1470"
"1471","proyectar","to project","v","1471"
"1472","belleza","beauty","nf","1472"
"1473","universidad","university, college","nf","1473"
"1474","riqueza","riches, wealth","nf","1474"
"1475","notable","outstanding, noteworthy","adj","1475"
"1476","beber","to drink","v","1476"
"1477","claramente&nbsp;","clearly","adv","1477"
"1478","rato","moment, while, time","nm","1478"
"1479","encargado","in charge of","adj","1479"
"1480","técnico","technical (adj)","adj","1480"
"1481","ciego","blind","adj","1481"
"1482","individual","individual","adj","1482"
"1483","apreciar","to appreciate","v","1483"
"1484","experimentar","to experience, experiment","v","1484"
"1485","justamente","just, exactly","adv","1485"
"1486","amar","to love","v","1486"
"1487","equilibrio","balance","nm","1487"
"1488","universal","universal","adj","1488"
"1489","ah","oh","interj) [also oh]","1489"
"1490","fruto","fruit, result","nm","1490"
"1491","representante","representative (nc)","nc","1491"
"1492","robar","to rob, steal","v","1492"
"1493","reír","to laugh","v","1493"
"1494","literario","literary","adj","1494"
"1495","exceso","excess","nm","1495"
"1496","capa","layer, coat","nf","1496"
"1497","defecto","defect","nm","1497"
"1498","fábrica","factory, manufacture","nf","1498"
"1499","espalda","back (body)","nf","1499"
"1500","mezclar","to mix","v","1500"
"1501","género","sort, gender, genre","nm","1501"
"1502","continuo","continuous","adj","1502"
"1503","distribuir","to distribute, deliver","v","1503"
"1504","economía","economy, economics, thriftiness","nf","1504"
"1505","apartar","to move away, separate","v","1505"
"1506","bosque","forest","nm","1506"
"1507","reclamar","to demand, require","v","1507"
"1508","paisaje","landscape","nm","1508"
"1509","quemar","to burn","v","1509"
"1510","llamado","call, calling","nm","1510"
"1511","paciente","patient","nc","1511"
"1512","elevado","elevated, high, lofty","adj","1512"
"1513","obedecer","to obey","v","1513"
"1514","tensión","tension, stress, strain","nf","1514"
"1515","establecido","established","adj","1515"
"1516","local","local (adj)","adj","1516"
"1517","satisfacer","to satisfy","v","1517"
"1518","concebir","to conceive, understand","v","1518"
"1519","ministro","government secretary, minister","nm/f","1519"
"1520","impulso","impulse, momentum","nm","1520"
"1521","reaccionar","to react","v","1521"
"1522","comercio","commerce, trade","nm","1522"
"1523","naturalmente","naturally","adv","1523"
"1524","acusar","to accuse","v","1524"
"1525","espera","wait","nf","1525"
"1526","gastar","to spend money","v","1526"
"1527","reserva","reservation, reserve","nf","1527"
"1528","regalar","to give as a gift","v","1528"
"1529","competencia","competition, contest","nf","1529"
"1530","quejar","to complain","v","1530"
"1531","penetrar","to penetrate","v","1531"
"1532","vacío","empty, vacant (adj)","adj","1532"
"1533","aislado","isolated","adj","1533"
"1534","rendir","to yield, to produce","v","1534"
"1535","observación","observation","nf","1535"
"1536","registrar","to register, record [also inscribir]","v","1536"
"1537","limpiar","to clean","v","1537"
"1538","vacío","emptiness, void (nm)","nm","1538"
"1539","atribuir","to attribute","v","1539"
"1540","cifra","figure, number, amount","nf","1540"
"1541","ocultar","to hide","v","1541"
"1542","escala","scale, ladder, rank","nf","1542"
"1543","enterar","to find out [se]","v","1543"
"1544","procedimiento","procedure, proceedings","nm","1544"
"1545","ajustar","to adjust, tighten","v","1545"
"1546","fórmula","formula","nf","1546"
"1547","ámbito","sphere, space","nm","1547"
"1548","informe","report","nm","1548"
"1549","dimensión","dimension, size","nf","1549"
"1550","cliente","client, customer","nc","1550"
"1551","manifestación","protest, manifestation","nf","1551"
"1552","aspirar","to aspire, want","v","1552"
"1553","y pico&nbsp;:pico","and a bit :beak, peak","nm","1553"
"1554","sensibilidad","sensitivity","nf","1554"
"1555","recurrir","to resort to","v","1555"
"1556","múltiple","multiple, many","adj","1556"
"1557","regreso","return [also retorno]","nm","1557"
"1558","temperatura","temperature","nf","1558"
"1559","julio","July","nm","1559"
"1560","poderoso","powerful","adj","1560"
"1561","digno","worthy","adj","1561"
"1562","bomba","bomb, explosion, pump","nf","1562"
"1563","órgano","organ","nm","1563"
"1564","inútil","useless","adj","1564"
"1565","avance","advance, progress&nbsp;[also adelanto]","nm","1565"
"1566","humanidad","humanity, mankind","nf","1566"
"1567","firma","company, signature, signing","nf","1567"
"1568","soldado","soldier","nm/f","1568"
"1569","sólido","solid, strong","adj","1569"
"1570","firme","firm, steady","adj","1570"
"1571","extremo","extreme (adj)","adj","1571"
"1572","conforme","in agreement","adj","1572"
"1573","esencial","essential","adj","1573"
"1574","huir","to flee, run away","v","1574"
"1575","percibir","to notice [also notar]","v","1575"
"1576","clima","climate","nm","1576"
"1577","emoción","emotion, excitement","nf","1577"
"1578","automóvil","automobile","nm","1578"
"1579","transcurrir","to occur, pass","v","1579"
"1580","mal","evil (nm)","nm","1580"
"1581","recomendar","to recommend","v","1581"
"1582","habilidad","ability, skill, talent","nf","1582"
"1583","identidad","identity","nf","1583"
"1584","desgracia","misfortune, bad luck","nf","1584"
"1585","corregir","to correct, rectify","v","1585"
"1586","amarillo","yellow","adj","1586"
"1587","consultar","to consult","v","1587"
"1588","deber","duty, obligation (nm)","nm","1588"
"1589","cola","line, queue, tail","nf","1589"
"1590","padecer","to suffer","v","1590"
"1591","progreso","progress","nm","1591"
"1592","elaborar","to make, develop","v","1592"
"1593","soñar","to dream","v","1593"
"1594","muestra","proof, sample, sign","nf","1594"
"1595","acostumbrado","accustomed","adj","1595"
"1596","hábito","habit","nm","1596"
"1597","gritar","to shout","v","1597"
"1598","artístico","artistic","adj","1598"
"1599","mecanismo","mechanism","nm","1599"
"1600","vivienda","housing, dwelling","nf","1600"
"1601","ocupado","busy, occupied","adj","1601"
"1602","área","area, zone (nf el)","nf el","1602"
"1603","traducir","to translate","v","1603"
"1604","efectivamente","in fact, actually, indeed","adv","1604"
"1605","interesado","interested","adj","1605"
"1606","mezcla","mixture, blend","nf","1606"
"1607","excesivo","excessive","adj","1607"
"1608","sumar","to add up, amount to","v","1608"
"1609","alimentar","to feed, support","v","1609"
"1610","habitación","room, bedroom, habitat","nf","1610"
"1611","instrucción","instruction","nf","1611"
"1612","eliminar","to eliminate, exclude","v","1612"
"1613","versión","version, account","nf","1613"
"1614","lujo","luxury","nm","1614"
"1615","intervención","intervention","nf","1615"
"1616","llegada","arrival","nf","1616"
"1617","alrededor","surrounding area, vicinity (nm)","nm","1617"
"1618","testigo","witness","nm","1618"
"1619","dominio","power, control","nm","1619"
"1620","raza","race, lineage","nf","1620"
"1621","renunciar","to give up, renounce","v","1621"
"1622","descubrimiento","discovery","nm","1622"
"1623","vacaciones","vacation","nf","1623"
"1624","provincia","province, region","nf","1624"
"1625","saber","knowledge (nm)","nm","1625"
"1626","argentino","Argentine","adj","1626"
"1627","cómodo","comfortable, convenient","adj","1627"
"1628","acostumbrar","to be accustomed to&nbsp;[also soler]","v","1628"
"1629","fácilmente","easily","adv","1629"
"1630","claridad","clearness, clarity","nf","1630"
"1631","negativo","negative, pessimistic","adj","1631"
"1632","revisar","to check, revise, inspect","v","1632"
"1633","carecer","to lack","v","1633"
"1634","científico","scientific (adj)","adj","1634"
"1635","arena","sand","nf","1635"
"1636","postura","posture, position, attitude","nf","1636"
"1637","salón","hall, room","nm","1637"
"1638","escenario","stage, setting, scene","nm","1638"
"1639","armado","armed","adj","1639"
"1640","largo","length (nm)","nm","1640"
"1641","prometer","to promise","v","1641"
"1642","contento","happy, content","adj","1642"
"1643","hotel","hotel","nm","1643"
"1644","oficio","job, occupation, function","nm","1644"
"1645","descender","to descend","v","1645"
"1646","cubierto","covered","adj","1646"
"1647","fila","line, row, file","nf","1647"
"1648","patrón","employer, landlord, patron saint, pattern","nm","1648"
"1649","pecho","""chest, breast<div><img src=""""paste-81720342740993.jpg"""" /></div>""","nm","1649"
"1650","tienda","shop, store, tent","nf","1650"
"1651","típico","typical","adj","1651"
"1652","protección","protection","nf","1652"
"1653","funcionario","civil servant","nm","1653"
"1654","reproducir","to reproduce, repeat","v","1654"
"1655","constar","to consist of, comprise","v","1655"
"1656","crítico","critical (adj)","adj","1656"
"1657","transporte","transportation, transport","nm","1657"
"1658","red","network, net, system","nf","1658"
"1659","caída","fall, drop, falling","nf","1659"
"1660","castellano","Castilian, Spanish","adj","1660"
"1661","asociar","to associate with","v","1661"
"1662","desconocer","to not know, not recognize","v","1662"
"1663","valle","valley","nm","1663"
"1664","fallar","to fail, miss","v","1664"
"1665","vuelo","flight","nm","1665"
"1666","vecino","nearby, neighboring (adj)","adj","1666"
"1667","sexo","sex","nm","1667"
"1668","iniciativa","initiative","nf","1668"
"1669","increíble","incredible, unbelievable","adj","1669"
"1670","concentración","concentration, gathering","nf","1670"
"1671","grito","cry, shout, scream","nm","1671"
"1672","esencia","essence","nf","1672"
"1673","cocina","kitchen","nf","1673"
"1674","mental","mental","adj","1674"
"1675","reflejo","reflection (reflected image)","nm","1675"
"1676","definición","definition","nf","1676"
"1677","preocupado","worried, concerned","adj","1677"
"1678","perdonar","to forgive, excuse","v","1678"
"1679","no + obstante<br />obstante","nevertheless","adj","1679"
"1680","abogado","lawyer","nm/f","1680"
"1681","agradecer","to thank for","v","1681"
"1682","admirar","to admire","v","1682"
"1683","sesión","session, meeting","nf","1683"
"1684","íntimo","close, intimate","adj","1684"
"1685","reloj","clock, watch","nm","1685"
"1686","estrecho","narrow","adj","1686"
"1687","muchacho","boy [also chico]","nm","1687"
"1688","octubre","October","nm","1688"
"1689","exposición","exhibition, display","nf","1689"
"1690","ingreso","entrance, admission, income","nm","1690"
"1691","revelar","to reveal, disclose","v","1691"
"1692","dibujo","drawing, sketch","nm","1692"
"1693","frecuente","frequent","adj","1693"
"1694","inevitable","inevitable, unavoidable","adj","1694"
"1695","hueso","bone","nm","1695"
"1696","ligero","light (in weight), slight","adj","1696"
"1697","militar","soldier, military person (nm)","nm","1697"
"1698","motor","engine, motor","nm","1698"
"1699","oposición","opposition","nf","1699"
"1700","patio","courtyard, playground, yard","nm","1700"
"1701","fruta","fruit","nf","1701"
"1702","ideal","ideal, goal (nm)","nm","1702"
"1703","izquierdo","left (opposite of right)","adj","1703"
"1704","ti","you (obj prep singular familiar)","pron","1704"
"1705","actor","actor","nm","1705"
"1706","confusión","confusion","nf","1706"
"1707","bonito","pretty, nice","adj","1707"
"1708","agregar","to add, gather","v","1708"
"1709","corriente","current, common (adj)","adj","1709"
"1710","traje","suit, dress, costume","nm","1710"
"1711","exigencia","requirement, demand","nf","1711"
"1712","víctima","victim, casualty","nf","1712"
"1713","playa","beach, seaside","nf","1713"
"1714","trabajador","worker, laborer (nm/f) [also obrero]","nm/f","1714"
"1715","primario","primary","adj","1715"
"1716","hierro","iron","nm","1716"
"1717","ideal","ideal (adj)","adj","1717"
"1718","completar","to complete","v","1718"
"1719","tela","cloth, fabric","nf","1719"
"1720","ancho","wide (adj)","adj","1720"
"1721","producción","production [also elaboración]","nf","1721"
"1722","febrero","February","nm","1722"
"1723","símbolo","symbol","nm","1723"
"1724","agradable","nice, pleasant","adj","1724"
"1725","medicina","medicine","nf","1725"
"1726","combatir","to fight against","v","1726"
"1727","búsqueda","search","nf","1727"
"1728","colectivo","collective, joint (adj)","adj","1728"
"1729","tranquilidad","tranquility, peace","nf","1729"
"1730","espejo","mirror, reflection","nm","1730"
"1731","secreto","secret (adj)","adj","1731"
"1732","comprensión","understanding (nf)","nf","1732"
"1733","incapaz","incapable","adj","1733"
"1734","cerebro","brain","nm","1734"
"1735","satisfecho","satisfied","adj","1735"
"1736","reducido","reduced, limited","adj","1736"
"1737","tiro","throw, shot","nm","1737"
"1738","aportar","to provide, contribute","v","1738"
"1739","derivar","to derive, come from","v","1739"
"1740","abuelo","grandfather","nm","1740"
"1741","prohibir","to prohibit, forbid","v","1741"
"1742","proporcionar","to provide, supply","v","1742"
"1743","maravilloso","wonderful, marvelous","adj","1743"
"1744","saludar","to greet, say hello","v","1744"
"1745","relacionar","to relate","v","1745"
"1746","declaración","declaration, statement","nf","1746"
"1747","relativo","relative (adj)","adj","1747"
"1748","sujeto","subject, individual (nm)","nm","1748"
"1749","investigar","to investigate [also indagar]","v","1749"
"1750","ubicar","to find, locate","v","1750"
"1751","enseñanza","teaching, instruction","nf","1751"
"1752","musical","musical","adj","1752"
"1753","permiso","permission, permit","nm","1753"
"1754","evolución","evolution, development","nf","1754"
"1755","tío","uncle, guy","nm","1755"
"1756","moral","morals, ethics (nf)","nf","1756"
"1757","redondo","round (adj)","adj","1757"
"1758","modificar","to modify","v","1758"
"1759","sujeto","fastened, subject to (adj)","adj","1759"
"1760","parque","park","nm","1760"
"1761","ingeniero","engineer","nm/f","1761"
"1762","lavar","to wash","v","1762"
"1763","borde","edge","nm","1763"
"1764","invadir","to invade, overcome","v","1764"
"1765","entusiasmo","enthusiasm","nm","1765"
"1766","evidentemente","evidently, obviously","adv","1766"
"1767","independencia","independence","nf","1767"
"1768","mentira","lie","nf","1768"
"1769","exclusivamente","exclusively","adv","1769"
"1770","sueldo","salary, pay","nm","1770"
"1771","desplazar","to replace, move, shift","v","1771"
"1772","comparación","comparison","nf","1772"
"1773","setenta","seventy","num","1773"
"1774","romano","Roman","adj","1774"
"1775","sagrado","sacred","adj","1775"
"1776","seno","breast, bosom, cavity","nm","1776"
"1777","adelantar","to move forward","v","1777"
"1778","canto","singing, chant","nm","1778"
"1779","potencia","power, potential","nf","1779"
"1780","examinar","to examine, inspect","v","1780"
"1781","oficial","official, officer (nc)","nc","1781"
"1782","fortuna","fortune, fate","nf","1782"
"1783","crimen","crime, murder","nm","1783"
"1784","suave","soft, gentle, mild","adj","1784"
"1785","opuesto","opposite, contrary","adj","1785"
"1786","sustituir","to substitute, replace","v","1786"
"1787","ciudadano","citizen (nm)","nm","1787"
"1788","implicar","to implicate, imply","v","1788"
"1789","baño","bathroom, bath, swim","nm","1789"
"1790","sabio","wise, learned","adj","1790"
"1791","ingresar","to join, deposit, admit","v","1791"
"1792","respirar","to breathe","v","1792"
"1793","caliente","hot, warm, spirited","adj","1793"
"1794","reconocimiento","recognition, acknowledgment","nm","1794"
"1795","exterior","exterior, outside (nm)","nm","1795"
"1796","sexual","sexual","adj","1796"
"1797","respectivo","respective","adj","1797"
"1798","situado","situated, located","adj","1798"
"1799","crédito","credit, reputation","nm","1799"
"1800","alternativa","alternative","nf","1800"
"1801","rodeado","surrounded","adj","1801"
"1802","esconder","to hide, conceal","v","1802"
"1803","cuando","when (adv)","adv","1803"
"1804","canal","channel, canal","nm","1804"
"1805","suficientemente","enough (adv)&nbsp;","adv","1805"
"1806","agente","agent","nc","1806"
"1807","pago","payment","nm","1807"
"1808","filosofía","philosophy","nf","1808"
"1809","alterar","to alter, modify","v","1809"
"1810","lector","reader, lecturer","nm","1810"
"1811","emitir","to emit, give off","v","1811"
"1812","magnífico","magnificent, splendid","adj","1812"
"1813","triunfo","triumph, victory","nm","1813"
"1814","inclinar","to bow, tilt, incline","v","1814"
"1815","campesino","rural","adj","1815"
"1816","sábado","Saturday","nm","1816"
"1817","amiga","friend (f)","nf","1817"
"1818","carretera","highway, road","nf","1818"
"1819","desprender","to detach, release, remove","v","1819"
"1820","efectivo","effective [also eficaz]","adj","1820"
"1821","victoria","victory, triumph","nf","1821"
"1822","circular","to circulate, go around, flow (v)","v","1822"
"1823","pelear","to fight, struggle","v","1823"
"1824","pájaro","bird [also ave]","nm","1824"
"1825","biblioteca","library","nf","1825"
"1826","reflexión","reflection, thought","nf","1826"
"1827","aplicado","applied","adj","1827"
"1828","aconsejar","to advise, counsel","v","1828"
"1829","vocación","vocation, calling","nf","1829"
"1830","casado","married","adj","1830"
"1831","continente","continent","nm","1831"
"1832","severo","severe","adj","1832"
"1833","tabla","chart, board, table, plank","nf","1833"
"1834","justo","fair, just (adj)","adj","1834"
"1835","ensayo","essay, rehearsal","nm","1835"
"1836","plato","plate, dish","nm","1836"
"1837","jardín","garden","nm","1837"
"1838","imaginación","imagination, fantasy","nf","1838"
"1839","precioso","beautiful, precious","adj","1839"
"1840","probable","probable","adj","1840"
"1841","poesía","poetry, poem","nf","1841"
"1842","guardia","guard, watch, lookout","nc","1842"
"1843","privilegio","privilege","nm","1843"
"1844","monte","mountain (nm)","nm","1844"
"1845","conmigo","with me","pron","1845"
"1846","arrojar","to throw (violently), to hurl [also lanzar]","v","1846"
"1847","precisión","precision","nf","1847"
"1848","sacrificio","sacrifice","nm","1848"
"1849","criticar","to criticize","v","1849"
"1850","hundir","to sink, submerge","v","1850"
"1851","hilo","thread, yarn, wire","nm","1851"
"1852","entendido","understood","adj","1852"
"1853","aparentemente","apparently","adv","1853"
"1854","aparición","appearance, apparition","nf","1854"
"1855","poema","poem","nm","1855"
"1856","avanzado","advanced","adj","1856"
"1857","curiosidad","curiosity, quaintness","nf","1857"
"1858","afuera","outside","adv","1858"
"1859","diente","tooth, cog","nm","1859"
"1860","primo","cousin","nm","1860"
"1861","encerrar","to shut in","v","1861"
"1862","latino","Latin (adj)","adj","1862"
"1863","apariencia","appearance, aspect","nf","1863"
"1864","novedad","latest news, newness","nf","1864"
"1865","espiritual","spiritual","adj","1865"
"1866","limitado","limited","adj","1866"
"1867","castigo","punishment, penalty","nm","1867"
"1868","constantemente","constantly","adv","1868"
"1869","denominar","to call, name [also llamar]","v","1869"
"1870","vestido","dressed (adj)","adj","1870"
"1871","carro","car, cart","nm","1871"
"1872","eterno","eternal","adj","1872"
"1873","aumento","increase, rise","nm","1873"
"1874","pobreza","poverty, lack, scarcity","nf","1874"
"1875","impulsar","to push, promote, drive","v","1875"
"1876","caro","expensive, difficult, dear","adj","1876"
"1877","empujar","to push, shove","v","1877"
"1878","dólar","dollar","nm","1878"
"1879","inicial","initial (adj)","adj","1879"
"1880","local","place, quarters (nm)","nm","1880"
"1881","dictar","to dictate, announce","v","1881"
"1882","dulce","sweet (adj)","adj","1882"
"1883","chocar","to crash into, collide with","v","1883"
"1884","industria","industry, factory","nf","1884"
"1885","caballero","gentleman, knight","nm","1885"
"1886","especialista","specialist","nc","1886"
"1887","temporada","season, period, time","nf","1887"
"1888","divino","divine","adj","1888"
"1889","humor","mood, humor","nm","1889"
"1890","borrar","to erase","v","1890"
"1891","nación","nation","nf","1891"
"1892","felicidad","happiness","nf","1892"
"1893","amante","lover","nc","1893"
"1894","alejado","remote, distant, aloof","adj","1894"
"1895","aguantar","to endure, put up with","v","1895"
"1896","coger","to hold, take, catch","v","1896"
"1897","cálculo","calculation, calculus","nm","1897"
"1898","composición","composition, make-up, essay","nf","1898"
"1899","rapidez","speed, velocity [also velocidad]","nf","1899"
"1900","huevo","egg","nm","1900"
"1901","elemental","elemental, basic","adj","1901"
"1902","crecimiento","growth, increase","nm","1902"
"1903","clave","key (nf)","nf","1903"
"1904","golpear","to hit, strike","v","1904"
"1905","tragedia","tragedy","nf","1905"
"1906","colección","collection","nf","1906"
"1907","chica","girl, female","nf","1907"
"1908","prestigio","prestige","nm","1908"
"1909","ascender","to ascend, be promoted","v","1909"
"1910","sección","section, cut","nf","1910"
"1911","complicar","to complicate, make difficult","v","1911"
"1912","anciano","elderly, aged","adj","1912"
"1913","fiel","faithful, loyal","adj","1913"
"1914","roto","broken, torn","adj","1914"
"1915","bolsa","bag, purse, stock exchange","nf","1915"
"1916","cinta","tape, ribbon, film, strip","nf","1916"
"1917","engañar","to trick, deceive","v","1917"
"1918","elegante","elegant, smart, stylish","adj","1918"
"1919","agotar","to exhaust, wear out, run out","v","1919"
"1920","cuello","neck, collar","nm","1920"
"1921","continuación","continuation, follow-up","nf","1921"
"1922","abril","abril","nm","1922"
"1923","precisar","to do exactly, specify","v","1923"
"1924","actuación","performance, acting","nf","1924"
"1925","factor","factor, cause, influence","nm","1925"
"1926","esquina","corner","nf","1926"
"1927","hombro","shoulder","nm","1927"
"1928","infancia","infancy, childhood","nf","1928"
"1929","suspender","to suspend, hang, fail","v","1929"
"1930","descanso","rest, interval, break","nm","1930"
"1931","ampliar","to enlarge, increase, expand","v","1931"
"1932","zapato","shoe","nm","1932"
"1933","parecer","opinion, looks (nm)","nm","1933"
"1934","familiar","relative (nm)","nm","1934"
"1935","mérito","worth, merit","nm","1935"
"1936","cultivar","to cultivate, produce","v","1936"
"1937","oportuno","opportune, timely","adj","1937"
"1938","explotar","to explode, exploit","v","1938"
"1939","significativo","significant, meaningful","adj","1939"
"1940","despedir","to dismiss, to say goodbye to","v","1940"
"1941","suelto","loose","adj","1941"
"1942","muro","outer wall, rampart","nm","1942"
"1943","colaborar","to collaborate, work together","v","1943"
"1944","a menudo","often","adv","1944"
"1945","invertir","to invest","v","1945"
"1946","montón","lot of, heap, pile","nm","1946"
"1947","revolucionario","revolutionary","adj","1947"
"1948","disco","disc, disk, record","nm","1948"
"1949","indispensable","indispensable, essential","adj","1949"
"1950","demanda","petition, request, demand","nf","1950"
"1951","mundial","worldwide","adj","1951"
"1952","mueble","piece of furniture","nm","1952"
"1953","desastre","disaster","nm","1953"
"1954","secreto","secret (nm)","nm","1954"
"1955","oriental","eastern, oriental","adj","1955"
"1956","regular","regular (adj)","adj","1956"
"1957","angustia","anguish, distress","nf","1957"
"1958","provenir","to come from, be from","v","1958"
"1959","forzar","to force","v","1959"
"1960","doméstico","domestic","adj","1960"
"1961","nube","cloud","nf","1961"
"1962","criar","to bring up, rear","v","1962"
"1963","miseria","misery, wretchedness","nf","1963"
"1964","personalmente","personally","adv","1964"
"1965","peor","worse, worst (adj)","adj","1965"
"1966","significado","meaning","nm","1966"
"1967","fama","reputation, fame","nf","1967"
"1968","palacio","palace","nm","1968"
"1969","oído","hearing, ear","nm","1969"
"1970","conveniente","convenient","adj","1970"
"1971","polvo","dust, powder","nm","1971"
"1972","confesar","to confess, admit","v","1972"
"1973","mecánico","mechanical","adj","1973"
"1974","sacerdote","priest","nm","1974"
"1975","lentamente","slowly","adv","1975"
"1976","eficaz","effective&nbsp;[also efectivo]","adj","1976"
"1977","lección","lesson","nf","1977"
"1978","rosa","rose","nf","1978"
"1979","nocturno","nocturnal, evening","adj","1979"
"1980","posiblemente","possibly","adv","1980"
"1981","doblar","to bend, turn","v","1981"
"1982","disminuir","to decrease, diminish","v","1982"
"1983","averiguar","to investigate, find out","v","1983"
"1984","sospechar","to suspect, suppose","v","1984"
"1985","pasear","to go for a walk, ride","v","1985"
"1986","olor","smell, odor, fragrance","nm","1986"
"1987","radical","radical","adj","1987"
"1988","decidido","determined, resolute","adj","1988"
"1989","contrato","contract, agreement","nm","1989"
"1990","presentación","presentation, introduction","nf","1990"
"1991","cárcel","jail, prison","nf","1991"
"1992","división","division","nf","1992"
"1993","revés","backwards, upside down, inside out","nm): al revés: ","1993"
"1994","sucio","dirty, filthy, underhanded","adj","1994"
"1995","depositar","to deposit, place, store","v","1995"
"1996","captar","to capture, attract","v","1996"
"1997","cualidad","quality, attribute","nf","1997"
"1998","empeñar","to pawn, pledge, engage","v","1998"
"1999","sobrevivir","to survive, outlive","v","1999"
"2000","índice","index, forefinger","nm","2000"
"2001","salvaje","wild, savage, uncultivated","adj","2001"
"2002","marzo","March","nm","2002"
"2003","atmósfera","atmosphere, environment","nf","2003"
"2004","planeta","planet","nm","2004"
"2005","industrial","industrial","adj","2005"
"2006","orgullo","pride","nm","2006"
"2007","jornada","working day, shift","nf","2007"
"2008","desnudo","nude, naked","adj","2008"
"2009","querido","dear, beloved","adj","2009"
"2010","absurdo","absurd","adj","2010"
"2011","dramático","dramatic","adj","2011"
"2012","palo","stick, pole","nm","2012"
"2013","diseño","design","nm","2013"
"2014","liberal","liberal","adj","2014"
"2015","lógica","logic","nf","2015"
