"index","word","meaning","furi","pos","e.g.","eng","freq"
"284","曲がる","turn","曲[ま]がる","Verb","そこを 左[ひだり]に<b> 曲[ま]がって</b>ください。","Please turn left there.","3456"
"285","同じ","same, identical","同[おな]じ","Adjectival Noun","彼[かれ]の 日本語[にほんご]のレベルは 私[わたし]と<b> 同[おな]じ</b> 位[くらい]だ。","His Japanese level is about the same as mine.","157"
"286","違う","differ, be wrong","違[ちが]う","Verb","答[こた]えが<b> 違[ちが]います</b>。","That's the wrong answer.","298"
"287","図書館","library","図書館[としょかん]","Noun","<b> 図書館[としょかん]</b>で 料理[りょうり]の 本[ほん]を 借[か]りた。","I borrowed a cookbook from the library.","5144"
"288","泊まる","stay overnight","泊[と]まる","Verb","今日[きょう]はこのホテルに<b> 泊[と]まります</b>。","I'm staying at this hotel today.","3281"
"289","遊ぶ","have a good time, play","遊[あそ]ぶ","Verb","子供[こども]たちが 公園[こうえん]で<b> 遊[あそ]んでいる</b>。","The children are playing in the park.","1496"
"290","どうして","why","どうして","Adverb","<b>どうして</b> 泣[な]いているの。","Why are you crying?","276"
"291","服","clothes","服[ふく]","Noun","昨日[きのう]、 新[あたら]しい<b> 服[ふく]</b>を 買[か]った。","I bought some new clothes yesterday.","871"
"292","お父さん","father","お 父[とう]さん","Noun","<b>お 父[とう]さん</b>は 会社員[かいしゃいん]です。","My father's a company employee.","1267"
"293","父","(speaker's)father","父[ちち]","Noun","私[わたし]は<b> 父[ちち]</b>が 大好[だいす]きです。","I love my father.","296"
"294","お母さん","mother","お 母[かあ]さん","Noun","<b>お 母[かあ]さん</b>によろしくお 伝[つた]えください。","Please give my best to your mother.","1238"
"295","母","(speaker's) mother","母[はは]","Noun","昨日[きのう]、<b> 母[はは]</b>と 話[はなし]をしました。","I talked to my mother yesterday.","356"
"296","親","parent","親[おや]","Noun","<b> 親[おや]</b>の 愛[あい]は ありがたい。","We're grateful for our parents' love.","959"
"297","姉","older sister","姉[あね]","Noun","<b> 姉[あね]</b>は 大学生[だいがくせい]です。","My big sister's a college student.","1057"
"298","お姉さん","older sister","お 姉[ねえ]さん","Noun","昨日[きのう]、あなたの<b>お 姉[ねえ]さん</b>に 会[あ]ったよ。","I met your older sister yesterday.","6069"
"299","妹","younger sister","妹[いもうと]","Noun","私[わたし]の<b> 妹[いもうと]</b>は 小学生[しょうがくせい]です。","My little sister goes to elementary school.","849"
"300","おなか","stomach","おなか","Noun","<b>おなか</b>が 空[す]きました。","I'm hungry.","7611"
"301","兄","older brother","兄[あに]","Noun","<b> 兄[あに]</b>は 水泳[すいえい]が 得意[とくい]です。","My big brother is good at swimming.","731"
"302","お兄さん","older brother","お 兄[にい]さん","Noun","あなたの<b>お 兄[にい]さん</b>は 何歳?[なんさい]","How old's your big brother?","6697"
"303","弟","younger brother","弟[おとうと]","Noun","<b> 弟[おとうと]</b>は 野球[やきゅう]が 好[す]きです。","My little brother likes baseball.","998"
"304","娘","daughter, girl","娘[むすめ]","Noun","私[わたし]の<b> 娘[むすめ]</b>はアメリカにいます。","My daughter is in the United States.","223"
"305","息子","son","息子[むすこ]","Noun","うちの<b> 息子[むすこ]</b>は 大学1年生[だいがく いちねんせい]です。","My son's a college freshman.","796"
"306","若い","young","若[わか]い","Adjective","彼[かれ]はまだ<b> 若[わか]い</b>です。","He's still young.","282"
"307","彼女","she, one's girlfriend","彼女[かのじょ]","Pronoun","<b> 彼女[かのじょ]</b>は OL[おーえる]です。","She's an office worker.","82"
"308","彼","he, one's boyfriend","彼[かれ]","Noun","<b> 彼[かれ]</b>は 私[わたし]の 上司[じょうし]です。","He's my senior.","49"
"309","結婚","marriage","結婚[けっこん]","Verbal Noun","彼女[かのじょ]は 来月[らいげつ]<b> 結婚[けっこん]</b>します。","She's getting married next month.","521"
"310","ミーティング","meeting","ミーティング","Noun","朝9時[あさ 9 じ]から<b>ミーティング</b>が 始[はじ]まった。","The meeting started at 9 a.m.","23773"
"311","自転車","bicycle","自転車[じてんしゃ]","Noun","毎日[まいにち]、 駅[えき]まで<b> 自転車[じてんしゃ]</b>で 行[い]きます。","I go to the station by bike every day.","2691"
"312","自分","self, oneself","自分[じぶん]","Noun","宿題[しゅくだい]は<b> 自分[じぶん]</b>でやりなさい。","Do your homework by yourself.","56"
"313","ご主人","(your) husband","ご 主人[しゅじん]","Noun","<b>ご 主人[しゅじん]</b>はお 元気[げんき]ですか。","How is your husband?","3584"
"314","答える","answer, reply","答[こた]える","Verb","私[わたし]の 質問[しつもん]に<b> 答[こた]えて</b>ください。","Please answer my question.","227"
"315","別","another, different","別[べつ]","Adjectival Noun","<b> 別[べつ]</b>の 本[ほん]も 見[み]せてください。","Please show me another book.","369"
"316","病気","illness","病気[びょうき]","Verbal Noun","祖父[そふ]が<b> 病気[びょうき]</b>になった。","My grandfather got sick.","1173"
"317","死ぬ","die","死[し]ぬ","Verb","犬[いぬ]が 病気[びょうき]で<b> 死[し]にました</b>。","Our dog got sick and died.","183"
"318","痛い","painful","痛[いた]い","Adjective","今日[きょう]は 頭[あたま]が<b> 痛[いた]い</b>です。","I have a headache today.","1184"
"319","酒","alcoholic drink, Japanese rice wine","酒[さけ]","Noun","彼女[かのじょ]は<b> 酒[さけ]</b>に 強[つよ]い。","She holds her liquor well.","463"
"320","つける","switch on","つける","Verb","電気[でんき]を<b>つけて</b>ください。","Please turn on the light.","168"
"321","一杯","full","一杯[いっぱい]","Adverb","プールは 人[ひと]で<b> 一杯[いっぱい]</b>です。","The pool is packed.","5902"
"322","飛ぶ","fly","飛[と]ぶ","Verb","鳥[とり]が<b> 飛[と]んでいます</b>。","A bird is flying.","580"
"323","飛行機","airplane","飛行機[ひこうき]","Noun","息子[むすこ]は<b> 飛行機[ひこうき]</b>のおもちゃが 好[す]きです。","My son likes toy airplanes.","2223"
"324","お願い","request, wish","お 願[ねが]い","Verbal Noun","<b>お 願[ねが]い</b>があります。","I have a favor to ask.","1014"
"325","続く","continue, follow が","続[つづ]く","Verb","工事[こうじ]は 3月[さんがつ]まで<b> 続[つづ]きます</b>。","Construction will continue until March.","677"
"326","日記","diary","日記[にっき]","Noun","私[わたし]は 毎日[まいにち]、<b> 日記[にっき]</b>を 付[つ]けています。","I keep a diary every day.","2992"
"327","首","neck","首[くび]","Noun","きりんの<b> 首[くび]</b>は 長[なが]い。","Giraffes' necks are long.","237"
"328","頭","head","頭[あたま]","Noun","今朝[けさ]から<b> 頭[あたま]</b>が 痛[いた]い。","I've had a headache since this morning.","146"
"329","顔","face","顔[かお]","Noun","彼[かれ]はタオルで<b> 顔[かお]</b>を 拭[ふ]きました。","He wiped his face with a towel.","69"
"330","あれ","that over there","あれ","Noun","<b>あれ</b>は 何[なん]ですか。","What's that?","255"
"331","感じる","feel, sense","感[かん]じる","Verb","膝[ひざ]に 痛[いた]みを<b> 感[かん]じます</b>。","I feel a pain in my knee.","206"
"332","探す","search for, look for","探[さが]す","Verb","彼[かれ]は 郵便局[ゆうびんきょく]を<b> 探[さが]していました</b>。","He was looking for the post office.","781"
"333","落ちる","fall, go down","落[お]ちる","Verb","猿[さる]も 木[き]から<b> 落[お]ちる</b>。","Monkeys also fall from trees.","408"
"334","お手洗い","bathroom (polite)","お 手洗[てあら]い","Noun","<b>お 手洗[てあら]い</b>はどこですか。","Where's the bathroom?","37293"
"335","冷たい","cold (things, touch)","冷[つめ]たい","Adjective","<b> 冷[つめ]たい</b> 飲[の]み 物[もの]をください。","Please give me a cold drink.","841"
"336","汚い","dirty","汚[きたな]い","Adjective","彼[かれ]の 部屋[へや]はとても<b> 汚[きたな]い</b>。","His room is very dirty.","3759"
"337","太い","thick, fat","太[ふと]い","Adjective","彼女[かのじょ]は 足[あし]が<b> 太[ふと]い</b>。","She has fat legs.","1691"
"338","曇る","become cloudy","曇[くも]る","Verb","明日[あす]は 昼頃[ひるごろ]から<b> 曇[くも]る</b>でしょう。","It'll probably get cloudy around noon tomorrow.","4850"
"339","神","god, spirit","神[かみ]","Noun","彼[かれ]は<b> 神[かみ]</b>を 信[しん]じている。","He believes in God.","265"
"340","まずい","bad-tasting, bad","まずい","Adjective","ここの 料理[りょうり]は<b>まずい</b>。","The food here is bad.","2137"
"341","建てる","build, erect","建[た]てる","Verb","私[わたし]たちは 来年[らいねん]、 家[いえ]を<b> 建[た]てます</b>。","We're building a house next year.","2445"
"342","置く","put, leave","置[お]く","Verb","彼[かれ]はかばんをいすの 上[うえ]に<b> 置[お]きました</b>。","He put the bag on the chair.","348"
"343","辺","vicinity, part","辺[へん]","Noun","彼[かれ]はこの<b> 辺[へん]</b>に 住[す]んでいます。","He lives around here.","4715"
"344","黄色い","yellow","黄色[きいろ]い","Adjective","彼女[かのじょ]に<b> 黄色[きいろ]い</b>バラを 買[か]いました。","I bought her a yellow rose.","3156"
"345","一緒に","together, at the same time","一緒[いっしょ]に","Adverb","<b> 一緒[いっしょ]に</b> 帰[かえ]りましょう。","Let's go home together.","1265"
"346","緑","green, foliage","緑[みどり]","Noun","この 町[まち]には<b> 緑[みどり]</b>がたくさんあります。","There's a lot of greenery in this town.","1814"
"347","易しい","easy, simple","易[やさ]しい","Adjective","この 問題[もんだい]はかなり<b> 易[やさ]しい</b>です。","This problem is pretty easy.","30266"
"348","留学生","student studying abroad","留学生[りゅうがくせい]","Noun","彼[かれ]は<b> 留学生[りゅうがくせい]</b>です。","He's a foreign student.","18155"
"349","戻る","return, turn back","戻[もど]る","Verb","今[いま]、 会社[かいしゃ]に<b> 戻[もど]ります</b>。","I'm going back to the office now.","249"
"350","そば","side, vicinity","そば","Noun","<b>そば</b>にいて 下[くだ]さい。","Stay with me.","540"
"351","起きる","get up, get out of bed","起[お]きる","Verb","私[わたし]は 毎朝6時[まいあさ ろくじ]に<b> 起[お]きます</b>。","I get up at six o'clock every morning.","634"
"352","起こる","happen","起[お]こる","Verb","町[まち]で 大事件[だいじけん]が<b> 起[お]こりました</b>。","There was a major incident in town.","770"
"353","起こす","wake up (someone)","起[お]こす","Verb","明日[あす]、 6時[ろくじ]に<b> 起[お]こして</b>ください。","Please wake me up tomorrow at six o'clock.","960"
"354","起きる","occur","起[お]きる","Verb","近所[きんじょ]で 盗難事件[とうなん じけん]が<b> 起[お]きました</b>。","Some burglaries occurred in the neighborhood.","634"
"355","寝る","sleep, go to sleep","寝[ね]る","Verb","もう<b> 寝[ね]よう</b>。","Let's go to bed.","543"
"356","細い","thin, slender, narrow","細[ほそ]い","Adjective","彼女[かのじょ]は 指[ゆび]が<b> 細[ほそ]い</b>ですね。","Her fingers are thin.","1124"
"357","載せる","place, put on","載[の]せる","Verb","皿[さら]にケーキを<b> 載[の]せました</b>。","I put the cake on the plate.","3547"
"358","締める","tighten, fasten","締[し]める","Verb","彼[かれ]はシートベルトを<b> 締[し]めた</b>。","He fastened his seat belt.","5311"
"359","甘い","sweet","甘[あま]い","Adjective","このイチゴは<b> 甘[あま]い</b>。","This strawberry is sweet.","1544"
"360","こっち","here","こっち","Pronoun","<b>こっち</b>に 来[き]て 下[くだ]さい。","Please come here.","506"
"361","辛い","spicy, salty","辛[から]い","Adjective","彼[かれ]は<b> 辛[から]い</b>ものが 好[す]きです。","He likes spicy food.","2085"
"362","優しい","gentle, kind","優[やさ]しい","Adjective","彼[かれ]はとても<b> 優[やさ]しい</b> 人[ひと]です。","He's a very kind person.","1326"
"363","夫","husband","夫[おっと]","Noun","私[わたし]の<b> 夫[おっと]</b>はサラリーマンです。","My husband is a company employee.","487"
"364","妻","wife","妻[つま]","Noun","今日[きょう]は<b> 妻[つま]</b>の 誕生日[たんじょうび]だ。","It's my wife's birthday today.","420"
"365","誰","who, whom","誰[だれ]","Noun","<b> 誰[だれ]</b>と 会[あ]ってみたいですか。","Who would you like to meet one day?","174"
"366","愛する","love, care for","愛[あい]する","Verb","私[わたし]は 家族[かぞく]を<b> 愛[あい]しています</b>。","I love my family.","2817"
"367","笑う","laugh, smile","笑[わら]う","Verb","赤[あか]ん 坊[ぼう]が<b> 笑[わら]っています</b>。","The baby is laughing.","185"
"368","酸っぱい","sour","酸[す]っぱい","Adjective","このぶどうは<b> 酸[す]っぱい</b>です。","These grapes are sour.","20802"
"369","言葉","word, language","言葉[ことば]","Noun","この<b> 言葉[ことば]</b>の 意味[いみ]が 分[わ]かりません。","I don't understand the meaning of this word.","143"
"370","よう","way, like, kind [the state of something]","よう","Noun","彼女[かのじょ]は 眠[ねむ]い<b>よう</b>です。","It looks like she's sleepy.","25"
"371","呼ぶ","call, name","呼[よ]ぶ","Verb","ウェイターを<b> 呼[よ]びましょう</b>。","Let's call the waiter.","231"
"372","胸","chest","胸[むね]","Noun","<b> 胸[むね]</b>に 少[すこ]し 痛[いた]みがあります。","I have a slight pain in my chest.","272"
"373","腰","hip, lower back","腰[こし]","Noun","昨日[きのう]から<b> 腰[こし]</b>が 痛[いた]い。","I've had a pain in my lower back since yesterday.","395"
"374","背","height, stature","背[せ]","Noun","彼女[かのじょ]は<b> 背[せ]</b>が 高[たか]い。","She's tall.","623"
"375","片仮名","katakana","片仮名[かたかな]","Noun","お 名前[なまえ]を<b> 片仮名[かたかな]</b>で 書[か]いてください。","Please write your name in katakana.","34512"
"376","平仮名","hiragana","平仮名[ひらがな]","Noun","私[わたし]は<b> 平仮名[ひらがな]</b>を 全部読[ぜんぶ よ]めます。","I can read all the hiragana.","41512"
"377","悲しい","sad","悲[かな]しい","Adjective","その 映画[えいが]はとても<b> 悲[かな]しかった</b>。","That movie was very sad.","1677"
"378","美しい","beautiful","美[うつく]しい","Adjective","この 絵[え]は<b> 美[うつく]しい</b>です。","This picture is beautiful.","526"
"379","授業","class, lesson","授業[じゅぎょう]","Verbal Noun","今日[きょう]は 日本語[にほんご]の<b> 授業[じゅぎょう]</b>があります。","There's going to be a Japanese class today.","3138"
"380","あそこ","over there","あそこ","Pronoun","<b>あそこ</b>にバス 停[てい]があります。","There's a bus stop over there.","1268"
"381","手伝う","help, assist","手伝[てつだ]う","Verb","私[わたし]が<b> 手伝[てつだ]いましょう</b>。","Can I help you?","2370"
"382","狭い","narrow, restricted","狭[せま]い","Adjective","私[わたし]の 部屋[へや]は<b> 狭[せま]い</b>です。","My room is small.","1475"
"383","触る","touch, feel","触[さわ]る","Verb","絵[え]に<b> 触[さわ]らないで</b>ください。","Please don't touch the painting.","3510"
"384","嫌い","dislike","嫌[きら]い","Adjective","私[わたし]はタバコが<b> 嫌[きら]い</b>です。","I hate cigarettes.","2018"
"385","浴びる","take a shower","浴[あ]びる","Verb","私[わたし]は 朝[あさ]、シャワーを<b> 浴[あ]びます</b>。","I take a shower in the morning.","2346"
"386","渇く","become thirsty","渇[かわ]く","Verb","のどが<b> 渇[かわ]きました</b>。","I'm thirsty.","10341"
"387","髪の毛","hair","髪[かみ]の 毛[け]","Noun","<b> 髪[かみ]の 毛[け]</b>が 伸[の]びたね。","Your hair's longer, isn't it?","3024"
"388","肩","shoulder","肩[かた]","Noun","<b> 肩[かた]</b>が 凝[こ]りました。","My shoulders are stiff.","346"
"389","鼻","nose","鼻[はな]","Noun","<b> 鼻[はな]</b>がかゆいです。","My nose itches.","811"
"390","おいしい","tasty","おいしい","Adjective","このケーキは<b>おいしい</b>ね。","This cake is yummy.","2716"
"391","腕","arm","腕[うで]","Noun","彼[かれ]の<b> 腕[うで]</b>は 太[ふと]い。","He has big arms.","343"
"392","掛ける","hang, put on","掛[か]ける","Verb","夫[おっと]の 服[ふく]をハンガーに<b> 掛[か]けた</b>。","I put my husband's clothes on a hanger.","1704"
"393","僕","I (young male)","僕[ぼく]","Noun","<b> 僕[ぼく]</b>は 学生[がくせい]です。","I'm a student.","139"
"394","だめ","no good","だめ","Adjectival Noun","彼[かれ]は<b>だめ</b>な 男[おとこ]だ。","He's a loser.","1021"
"395","大丈夫","alright, okay","大丈夫[だいじょうぶ]","Adjectival Noun","<b> 大丈夫[だいじょうぶ]</b>ですか。","Are you okay?","657"
"396","風邪","cold (illness)","風邪[かぜ]","Noun","私[わたし]は<b> 風邪[かぜ]</b>を 引[ひ]きました。","I caught a cold.","3785"
"397","きれい","pretty","きれい","Adjectival Noun","彼女[かのじょ]はとても<b>きれい</b>だ。","She's very beautiful.","1138"
"398","嬉しい","happy, glad","嬉[うれ]しい","Adjective","彼[かれ]に 会[あ]えて<b> 嬉[うれ]しかった</b>。","I was glad to meet him.","1298"
"399","なる (生る)","produce fruit, grow (on a tree)","なる","Verb","柿[かき]の 木[き]に 実[み]がたくさん<b>なっています</b>。","A lot of fruit is ripening on the persimmon tree.",""
"400","ため","sake, purpose","ため","Noun","これは 医者[いしゃ]の<b>ため</b>のサイトです。","This is a site for doctors.","98"
"401","より","more, further","より","Adverb","これから、<b>より</b> 一層努力[いっそう どりょく]します。","I'll work that much harder from now.","119"
"402","七","seven","七[しち]","Noun","そのグループのメンバーは 全部[ぜんぶ]で<b> 七[しち]</b> 人[にん]だ。","There are seven members of the group in all.","169"
"403","九","nine","九[く]","Noun","私[わたし]は<b> 九[く]</b> 月[がつ]に 行[い]く 予定[よてい]です。","I plan to go in September.","184"
"404","億","hundred million","億[おく]","Noun","世界人口[せかい じんこう]は 65[ろくじゅうご]<b> 億[おく]</b> 人[にん]だ。","The world's population is 6.5 billion people.","2153"
"405","寺","buddhist temple","寺[てら]","Noun","あそこに 古[ふる]いお<b> 寺[てら]</b>があります。","There's an old temple there.","1261"
"406","ドル","dollar","ドル","Noun","この 服[ふく]は 300[さんびゃく]<b>ドル</b>しました。","These clothes cost 300 dollars.","2778"
"407","日","sun, sunlight, day","日[ひ]","Noun","夏[なつ]は<b> 日[ひ]</b>が 長[なが]い。","The days are long in summer.","94"
"408","火","fire","火[ひ]","Noun","<b> 火[ひ]</b>を 消[け]して。","Put the fire out.","461"
"409","木","tree, wood","木[き]","Noun","台風[たいふう]で<b> 木[き]</b>が 倒[たお]れた。","The tree fell because of the typhoon.","605"
"410","金","gold, sum of money, Friday","金[きん]","Noun","彼女[かのじょ]は<b> 金[きん]</b>のネックレスをしています。","She's wearing a gold necklace.","269"
"411","システム","system","システム","Noun","全[すべ]ての<b>システム</b>が 停止[ていし]した。","All systems have stopped.","3228"
"412","十分","enough, plenty","十分[じゅうぶん]","Adjectival Noun","お 金[かね]はまだ<b> 十分[じゅうぶん]</b>あります。","We still have plenty of money.","1098"
"413","分","amount, part, share","分[ぶん]","Noun","このケーキはあなたの<b> 分[ぶん]</b>です。","This is your share of the cake.","273"
"414","分ける","divide into parts, sort, share","分[わ]ける","Verb","お 菓子[かし]をみんなで<b> 分[わ]けました</b>。","We shared the sweets with everyone.","2489"
"415","分かれる","be divided, disperse, branch off","分[わ]かれる","Verb","グループの 中[なか]で 意見[いけん]が<b> 分[わ]かれました</b>。","Opinion was divided within the group.","6030"
"416","コンピュータ","computer","コンピュータ","Noun","新[あたら]しい<b>コンピュータ</b>を 買[か]った。","I bought a new computer.","7035"
"417","何か","something, some","何[なに]か","Noun","道[みち]に<b> 何[なに]か</b> 落[お]ちています。","Something has fallen on the road.",""
"418","何","what, which","何[なん]","Noun","質問[しつもん]は<b> 何[なん]</b>ですか。","What's the question?","53"
"419","まず","first (of all)","まず","Adverb","帰[かえ]ったら<b>まず</b> 手[て]を 洗[あら]いましょう。","When you get home, wash your hands first.","438"
"420","先月","last month","先月[せんげつ]","Noun","<b> 先月[せんげつ]</b>、 友達[ともだち]の 結婚式[けっこんしき]があった。","My friend's wedding was held last month.","10311"
"421","やる","give (to animals, plants, etc.)","やる","Verb","犬[いぬ]にえさを<b>やった</b>。","I fed the dog.","78"
"422","先週","last week","先週[せんしゅう]","Noun","<b> 先週[せんしゅう]</b>は 海[うみ]に 行[い]った。","I went to the beach last week.","9452"
"423","今まで","until now, so far","今[いま]まで","Adverb","<b> 今[いま]まで</b>どこにいたのですか。","Where were you until now?","919"
"424","来月","next month","来月[らいげつ]","Noun","<b> 来月[らいげつ]</b>から 大学生[だいがくせい]になります。","I'll be a college student beginning next month.","16035"
"425","来週","next week","来週[らいしゅう]","Noun","続[つづ]きは<b> 来週[らいしゅう]</b>やりましょう。","Let's continue next week.","11305"
"426","ロボット","robot","ロボット","Noun","彼[かれ]は<b>ロボット</b>の 研究[けんきゅう]をしています。","He is doing research on robots.","5782"
"427","行う","do, carry out","行[おこな]う","Verb","その 会社[かいしゃ]は 来月[らいげつ]、キャンペーンを<b> 行[おこな]う</b>。","That company is going to run a campaign next month.","523"
"428","行き","going","行[い]き","Noun","<b> 行[い]き</b>は 新幹線[しんかんせん]で 行[い]った。","I went by bullet train on the way over.","3764"
"429","行き","going","行[ゆ]き","Noun","東京[とうきょう]<b> 行[ゆ]き</b>の 列車[れっしゃ]に 乗[の]った。","I got on the Tokyo-bound train.","3764"
"430","帰り","return trip, going home","帰[かえ]り","Noun","仕事[しごと]の<b> 帰[かえ]り</b>にビールを 飲[の]んだ。","I had a beer on the way home from work.","2064"
"431","ほとんど","almost, hardly","ほとんど","Adverb","お 金[かね]が<b>ほとんど</b>ありません。","There's hardly any money.","362"
"432","大きさ","size, dimensions","大[おお]きさ","Noun","この<b> 大[おお]きさ</b>の 封筒[ふうとう]が 欲[ほ]しいのですが。","I'd like an envelope of this size.","2304"
"433","大分","very, greatly","大分[だいぶ]","Adverb","<b> 大分[だいぶ]</b>ピアノが 上手[うま]くなりました。","You've gotten pretty good at the piano.","4402"
"434","中","in, inside, middle","中[なか]","Noun","財布[さいふ]は 引[ひ]き 出[だ]しの<b> 中[なか]</b>にあります。","My purse is in the drawer.","71"
"435","少年","boy","少年[しょうねん]","Noun","<b> 少年[しょうねん]</b>たちがサッカーをしている。","The boys are playing soccer.","500"
"436","パソコン","personal computer","パソコン","Noun","彼[かれ]は<b>パソコン</b>を 2台持[にだい も]っています。","He has two personal computers.","6138"
"437","少しも","(not) one bit","少[すこ]しも","Adverb","あなたは<b> 少[すこ]しも</b> 悪[わる]くない。","It's not your fault at all.","3081"
"438","少々","a little, a few (formal)","少々[しょうしょう]","Adverb","塩[しお]を<b> 少々[しょうしょう]</b> 入[い]れてください。","Please put in a little salt.","2187"
"439","多く","many, much","多[おお]く","Noun","毎年[まいとし]<b> 多[おお]く</b>の 人[ひと]が 海外[かいがい]へ 旅行[りょこう]する。","A lot of people travel abroad every year.","840"
"440","上がる","go up, rise","上[あ]がる","Verb","私[わたし]たちは ２階[にかい]に<b> 上[あ]がった</b>。","We went up to the second floor.","793"
"441","もう","another, again","もう","Adverb","コーヒーを<b>もう</b> 一杯[いっぱい]ください。","Please give me another cup of coffee.","103"
"442","上がる","get nervous, get stage fright","上[あ]がる","Verb","彼[かれ]は 人前[ひとまえ]だと<b> 上[あ]がってしまう</b>。","He gets nervous in front of other people.","793"
"443","年上","older, senior","年上[としうえ]","Noun","彼[かれ]は 私[わたし]より<b> 年上[としうえ]</b>です。","He's older than me.","4584"
"444","上り","going up, ascent","上[のぼ]り","Noun","これは<b> 上[のぼ]り</b> 電車[でんしゃ]です。","This is the train going downtown.","6274"
"445","下げる","lower, turn down","下[さ]げる","Verb","少[すこ]し 音量[おんりょう]を<b> 下[さ]げて</b>ください。","Please turn the volume down a little.","1089"
"446","プログラム","program","プログラム","Noun","受付[うけつけ]で<b>プログラム</b>を 受[う]け 取[と]った。","I got my program at the reception.","6594"
"447","下がる","come down, hang (down), fall","下[さ]がる","Verb","やっと 熱[ねつ]が<b> 下[さ]がった</b>。","His fever finally went down.","2842"
"448","下りる","go down, climb down","下[お]りる","Verb","そこの 階段[かいだん]を<b> 下[お]りて</b>ください。","Please go down those stairs.","1798"
"449","下ろす","bring down, take down, withdraw (money)","下[お]ろす","Verb","棚[たな]からその 箱[はこ]を<b> 下[お]ろして</b>ください。","Please take the box down from the shelf.","1863"
"450","下り","downhill, going down","下[くだ]り","Noun","もうすぐ<b> 下[くだ]り</b>の 電車[でんしゃ]が 発車[はっしゃ]します。","The train out of the city leaves soon.","7946"
"451","よく","well","よく","Adverb","<b>よく</b> 答[こた]えが 分[わ]かりましたね。","You did well in coming up with the answer.","154"
"452","年下","junior, younger person","年下[としした]","Noun","彼[かれ]は 奥[おく]さんより<b> 年下[としした]</b>です。","He's younger than his wife.","7203"
"453","下る","go down, go downward","下[くだ]る","Verb","小[ちい]さな 船[ふね]が 川[かわ]を<b> 下[くだ]っています</b>。","A small ship is going down the river.","2145"
"454","一方","one way","一方[いっぽう]","Noun","ここは<b> 一方[いっぽう]</b> 通行[つうこう]です。","This is a one-way street.","763"
"455","方","person (polite)","方[かた]","Noun","次[つぎ]の<b> 方[かた]</b>、どうぞ。","Next please.","121"
"456","まま","as is, still (in the current state)","まま","Noun","電気[でんき]がついた<b>まま</b>ですよ。","The light is still on.","151"
"457","二人","two persons","二人[ふたり]","Noun","今日[きょう]は 妻[つま]と<b> 二人[ふたり]</b>で 食事[しょくじ]をします。","Today I'm having dinner with my wife, just the two of us.",""
"458","大人しい","gentle, quiet, subdued","大人[おとな]しい","Adjective","私[わたし]の 彼女[かのじょ]はとても<b> 大人[おとな]しい</b>です。","My girlfriend's very quiet.","22423"
"459","人々","people (polite)","人々[ひとびと]","Noun","あの 村[むら]の<b> 人々[ひとびと]</b>はとても 親切[しんせつ]です。","People in that village are very kind.","492"
"460","一人で","by oneself","一人[ひとり]で","Adverb","今日[きょう]は<b> 一人[ひとり]で</b> 映画[えいが]を 見[み]ます。","I will see a movie by myself today.",""
"461","テレビ","television","テレビ","Noun","私[わたし]は<b>テレビ</b>をあまり 見[み]ません。","I don't watch much TV.","1094"
"462","外人","foreigner, alien (less polite)","外人[がいじん]","Noun","この 町[まち]には<b> 外人[がいじん]</b>が 少[すく]ない。","There are few foreigners in this town.","7325"
"463","外","outside, open air","外[そと]","Noun","<b> 外[そと]</b>は 暑[あつ]いよ。","It's hot outside.","262"
"464","休日","holiday, day off","休日[きゅうじつ]","Noun","<b> 休日[きゅうじつ]</b>は 家[いえ]でよくテレビを 見[み]ます。","I often watch television at home on my days off.","8581"
"465","休み","rest, holiday, absence","休[やす]み","Noun","木曜日[もくようび]は 仕事[しごと]が<b> 休[やす]み</b>です。","Thursday is my day off work.","4526"
"466","ソフト","software, programme","ソフト","Noun","この<b>ソフト</b>で 日本語[にほんご]を 勉強[べんきょう]することができます。","You can study Japanese with this software.","11204"
"467","力","strength, power","力[ちから]","Noun","お 相撲[すもう]さんは、みんな<b> 力[ちから]</b> 持[も]ちだ。","All sumo wrestlers are strong.","235"
"468","協力","cooperation, collaboration","協力[きょうりょく]","Verbal Noun","このプロジェクトにはみんなの<b> 協力[きょうりょく]</b>が 必要[ひつよう]です。","This project requires everyone's cooperation.","2064"
"469","人口","population","人口[じんこう]","Noun","その 国[くに]の<b> 人口[じんこう]</b>はどのくらいですか。","What's the population of that country?","6109"
"470","出口","exit, exit ramp","出口[でぐち]","Noun","<b> 出口[でぐち]</b>はあそこです。","The exit's over there.","3680"
"471","ただ","free","ただ","Noun","この 温泉[おんせん]は<b>ただ</b>です。","This hot spring is free.","158"
"472","入り口","entrance","入[い]り 口[ぐち]","Noun","<b> 入[い]り 口[ぐち]</b>は 向[む]こうです。","The entrance is over there.","3549"
"473","右手","right hand","右手[みぎて]","Noun","私[わたし]は<b> 右手[みぎて]</b>で 字[じ]を 書[か]きます。","I write right-handed.","1045"
"474","左手","left hand","左手[ひだりて]","Noun","彼女[かのじょ]は<b> 左手[ひだりて]</b>で 字[じ]を 書[か]く。","She writes left-handed.","1427"
"475","下手","not good at","下手[へた]","Adjectival Noun","私[わたし]は 歌[うた]が<b> 下手[へた]</b>だ。","I'm a terrible singer.","3085"
"476","これら","these","これら","Noun","今日[きょう]は<b>これら</b>の 問題[もんだい]について 話[はな]し 合[あ]います。","We will discuss these issues today.","1380"
