"1224","rapidez (nf)","speed, velocity [also velocidad]"
"1225","raza (nf)","race, lineage"
"1226","red (nf)","network, net, system"
"1227","reflexión (nf)","reflection, thought"
"1228","reserva (nf)","reservation, reserve"
"1229","rosa (nf)","rose"
"1230","sección (nf)","section, cut"
"1231","sensibilidad (nf)","sensitivity"
"1232","sesión (nf)","session, meeting"
"1233","tabla (nf)","chart, board, table, plank"
"1234","tela (nf)","cloth, fabric"
"1235","temperatura (nf)","temperature"
"1236","temporada (nf)","season, period, time"
"1237","tensión (nf)","tension, stress, strain"
"1238","tienda (nf)","shop, store, tent"
"1239","tragedia (nf)","tragedy"
"1240","tranquilidad (nf)","tranquility, peace"
"1241","vacaciones (nf)","vacation"
"1242","versión (nf)","version, account"
"1243","víctima (nf)","victim, casualty"
"1244","victoria (nf)","victory, triumph"
"1245","vivienda (nf)","housing, dwelling"
"1246","vocación (nf)","vocation, calling"
"1247","área (nf el)","area, zone (nf el)"
"1248","abril (nm)","abril"
"1249","abuelo (nm)","grandfather"
"1250","actor (nm)","actor"
"1251","alrededor (nm)","surrounding area, vicinity (nm)"
"1252","ámbito (nm)","sphere, space"
"1253","aumento (nm)","increase, rise"
"1254","automóvil (nm)","automobile"
"1255","avance (nm)","advance, progress&nbsp;[also adelanto]"
"1256","baño (nm)","bathroom, bath, swim"
"1257","borde (nm)","edge"
"1258","bosque (nm)","forest"
"1259","caballero (nm)","gentleman, knight"
"1260","cálculo (nm)","calculation, calculus"
"1261","canal (nm)","channel, canal"
"1262","canto (nm)","singing, chant"
"1263","carro (nm)","car, cart"
"1264","castigo (nm)","punishment, penalty"
"1265","cerebro (nm)","brain"
"1266","clima (nm)","climate"
"1267","comercio (nm)","commerce, trade"
"1268","continente (nm)","continent"
"1269","contrato (nm)","contract, agreement"
"1270","crecimiento (nm)","growth, increase"
"1271","crédito (nm)","credit, reputation"
"1272","crimen (nm)","crime, murder"
"1273","cuello (nm)","neck, collar"
"1274","desastre (nm)","disaster"
"1275","descanso (nm)","rest, interval, break"
"1276","descubrimiento (nm)","discovery"
"1277","dibujo (nm)","drawing, sketch"
"1278","diente (nm)","tooth, cog"
"1279","disco (nm)","disc, disk, record"
"1280","dólar (nm)","dollar"
"1281","dominio (nm)","power, control"
"1282","ensayo (nm)","essay, rehearsal"
"1283","entusiasmo (nm)","enthusiasm"
"1284","escenario (nm)","stage, setting, scene"
"1285","espejo (nm)","mirror, reflection"
"1286","exterior (nm)","exterior, outside (nm)"
"1287","extremo (adj)","extreme (adj)"
"1288","factor (nm)","factor, cause, influence"
"1289","familiar (nm)","relative (nm)"
"1290","febrero (nm)","February"
"1291","funcionario (nm)","civil servant"
"1292","género (nm)","sort, gender, genre"
"1293","grito (nm)","cry, shout, scream"
"1294","hábito (nm)","habit"
"1295","hierro (nm)","iron"
"1296","hilo (nm)","thread, yarn, wire"
"1297","hombro (nm)","shoulder"
"1298","hotel (nm)","hotel"
"1299","hueso (nm)","bone"
"1300","huevo (nm)","egg"
"1301","humor (nm)","mood, humor"
"1302","ideal (adj)","ideal (adj)"
"1303","impulso (nm)","impulse, momentum"
"1304","índice (nm)","index, forefinger"
"1305","informe (nm)","report"
"1306","ingreso (nm)","entrance, admission, income"
"1307","jardín (nm)","garden"
"1308","julio (nm)","July"
"1309","largo (nm)","length (nm)"
"1310","lector (nm)","reader, lecturer"
"1311","llamado (nm)","call, calling"
"1312","local (nm)","place, quarters (nm)"
"1313","lujo (nm)","luxury"
"1314","mal (nm)","evil (nm)"
"1315","mecanismo (nm)","mechanism"
"1316","mérito (nm)","worth, merit"
"1317","militar (nm)","soldier, military person (nm)"
"1318","monte (nm)","mountain (nm)"
"1319","montón (nm)","lot of, heap, pile"
"1320","motor (nm)","engine, motor"
"1321","muchacho (nm)","boy [also chico]"
"1322","mueble (nm)","piece of furniture"
"1323","muro (nm)","outer wall, rampart"
"1324","octubre (nm)","October"
"1325","oficio (nm)","job, occupation, function"
"1326","oído (nm)","hearing, ear"
"1327","olor (nm)","smell, odor, fragrance"
"1328","órgano (nm)","organ"
"1329","pago (nm)","payment"
"1330","paisaje (nm)","landscape"
"1331","pájaro (nm)","bird [also ave]"
"1332","palacio (nm)","palace"
"1333","parque (nm)","park"
"1334","patio (nm)","courtyard, playground, yard"
"1335","patrón (nm)","employer, landlord, patron saint, pattern"
"1336","pecho (nm)","""chest, breast<div><img src=""""paste-81720342740993.jpg"""" /></div>"""
"1337","permiso (nm)","permission, permit"
"1338","y pico&nbsp;:pico (nm)","and a bit :beak, peak"
"1339","plato (nm)","plate, dish"
"1340","poema (nm)","poem"
"1341","polvo (nm)","dust, powder"
"1342","prestigio (nm)","prestige"
"1343","primo (nm)","cousin"
"1344","privilegio (nm)","privilege"
"1345","procedimiento (nm)","procedure, proceedings"
"1346","progreso (nm)","progress"
"1347","reconocimiento (nm)","recognition, acknowledgment"
"1348","reflejo (nm)","reflection (reflected image)"
"1349","regreso (nm)","return [also retorno]"
"1350","reloj (nm)","clock, watch"
"1351","revés (nm): al revés: ","backwards, upside down, inside out"
"1352","sábado (nm)","Saturday"
"1353","sacerdote (nm)","priest"
"1354","sacrificio (nm)","sacrifice"
"1355","salón (nm)","hall, room"
"1356","secreto (nm)","secret (nm)"
"1357","seno (nm)","breast, bosom, cavity"
"1358","sexo (nm)","sex"
"1359","significado (nm)","meaning"
"1360","símbolo (nm)","symbol"
"1361","sueldo (nm)","salary, pay"
"1362","sujeto (adj)","fastened, subject to (adj)"
"1363","testigo (nm)","witness"
"1364","tío (nm)","uncle, guy"
"1365","tiro (nm)","throw, shot"
"1366","traje (nm)","suit, dress, costume"
"1367","transporte (nm)","transportation, transport"
"1368","triunfo (nm)","triumph, victory"
"1369","vacío (nm)","emptiness, void (nm)"
"1370","valle (nm)","valley"
"1371","vecino (adj)","nearby, neighboring (adj)"
"1372","vuelo (nm)","flight"
"1373","zapato (nm)","shoe"
"1374","abogado (nm/f)","lawyer"
"1375","ingeniero (nm/f)","engineer"
"1376","ministro (nm/f)","government secretary, minister"
"1377","soldado (nm/f)","soldier"
"1378","setenta (num)","seventy"
"1379","conmigo (pron)","with me"
"1380","ti (pron)","you (obj prep singular familiar)"
"1381","aconsejar (v)","to advise, counsel"
"1382","acostumbrar (v)","to be accustomed to&nbsp;[also soler]"
"1383","acusar (v)","to accuse"
"1384","adelantar (v)","to move forward"
"1385","admirar (v)","to admire"
"1386","agotar (v)","to exhaust, wear out, run out"
"1387","agradecer (v)","to thank for"
"1388","agregar (v)","to add, gather"
"1389","aguantar (v)","to endure, put up with"
"1390","ajustar (v)","to adjust, tighten"
"1391","alimentar (v)","to feed, support"
"1392","alterar (v)","to alter, modify"
"1393","ampliar (v)","to enlarge, increase, expand"
"1394","apartar (v)","to move away, separate"
"1395","aportar (v)","to provide, contribute"
"1396","arrojar (v)","to throw (violently), to hurl [also lanzar]"
"1397","ascender (v)","to ascend, be promoted"
"1398","asociar (v)","to associate with"
"1399","aspirar (v)","to aspire, want"
"1400","atribuir (v)","to attribute"
"1401","averiguar (v)","to investigate, find out"
"1402","borrar (v)","to erase"
"1403","captar (v)","to capture, attract"
"1404","carecer (v)","to lack"
"1405","chocar (v)","to crash into, collide with"
"1406","coger (v)","to hold, take, catch"
"1407","colaborar (v)","to collaborate, work together"
"1408","combatir (v)","to fight against"
"1409","completar (v)","to complete"
"1410","complicar (v)","to complicate, make difficult"
"1411","concebir (v)","to conceive, understand"
"1412","confesar (v)","to confess, admit"
"1413","constar (v)","to consist of, comprise"
"1414","consultar (v)","to consult"
"1415","corregir (v)","to correct, rectify"
"1416","criar (v)","to bring up, rear"
"1417","criticar (v)","to criticize"
"1418","cultivar (v)","to cultivate, produce"
"1419","deber (nm)","duty, obligation (nm)"
"1420","denominar (v)","to call, name [also llamar]"
"1421","depositar (v)","to deposit, place, store"
"1422","derivar (v)","to derive, come from"
"1423","descender (v)","to descend"
"1424","desconocer (v)","to not know, not recognize"
"1425","despedir (v)","to dismiss, to say goodbye to"
"1426","desplazar (v)","to replace, move, shift"
"1427","desprender (v)","to detach, release, remove"
"1428","dictar (v)","to dictate, announce"
"1429","disminuir (v)","to decrease, diminish"
"1430","distribuir (v)","to distribute, deliver"
"1431","doblar (v)","to bend, turn"
"1432","elaborar (v)","to make, develop"
"1433","eliminar (v)","to eliminate, exclude"
"1434","emitir (v)","to emit, give off"
"1435","empeñar (v)","to pawn, pledge, engage"
"1436","empujar (v)","to push, shove"
"1437","encerrar (v)","to shut in"
"1438","engañar (v)","to trick, deceive"
"1439","enterar (v)","to find out [se]"
"1440","esconder (v)","to hide, conceal"
"1441","examinar (v)","to examine, inspect"
"1442","explotar (v)","to explode, exploit"
"1443","fallar (v)","to fail, miss"
"1444","forzar (v)","to force"
"1445","gastar (v)","to spend money"
"1446","golpear (v)","to hit, strike"
"1447","gritar (v)","to shout"
"1448","huir (v)","to flee, run away"
"1449","hundir (v)","to sink, submerge"
"1450","implicar (v)","to implicate, imply"
"1451","impulsar (v)","to push, promote, drive"
"1452","inclinar (v)","to bow, tilt, incline"
"1453","ingresar (v)","to join, deposit, admit"
"1454","invadir (v)","to invade, overcome"
"1455","invertir (v)","to invest"
"1456","investigar (v)","to investigate [also indagar]"
"1457","lavar (v)","to wash"
"1458","limpiar (v)","to clean"
"1459","modificar (v)","to modify"
"1460","obedecer (v)","to obey"
"1461","ocultar (v)","to hide"
"1462","padecer (v)","to suffer"
"1463","parecer (nm)","opinion, looks (nm)"
"1464","pasear (v)","to go for a walk, ride"
"1465","pelear (v)","to fight, struggle"
"1466","penetrar (v)","to penetrate"
"1467","percibir (v)","to notice [also notar]"
"1468","perdonar (v)","to forgive, excuse"
"1469","precisar (v)","to do exactly, specify"
"1470","prohibir (v)","to prohibit, forbid"
"1471","prometer (v)","to promise"
"1472","proporcionar (v)","to provide, supply"
"1473","provenir (v)","to come from, be from"
"1474","quejar (v)","to complain"
"1475","quemar (v)","to burn"
"1476","reaccionar (v)","to react"
"1477","reclamar (v)","to demand, require"
"1478","recomendar (v)","to recommend"
"1479","recurrir (v)","to resort to"
"1480","regalar (v)","to give as a gift"
"1481","registrar (v)","to register, record [also inscribir]"
"1482","relacionar (v)","to relate"
"1483","rendir (v)","to yield, to produce"
"1484","renunciar (v)","to give up, renounce"
"1485","reproducir (v)","to reproduce, repeat"
"1486","respirar (v)","to breathe"
"1487","revelar (v)","to reveal, disclose"
"1488","revisar (v)","to check, revise, inspect"
"1489","saber (nm)","knowledge (nm)"
"1490","saludar (v)","to greet, say hello"
"1491","satisfacer (v)","to satisfy"
"1492","sobrevivir (v)","to survive, outlive"
"1493","soñar (v)","to dream"
"1494","sospechar (v)","to suspect, suppose"
"1495","sumar (v)","to add up, amount to"
"1496","suspender (v)","to suspend, hang, fail"
"1497","sustituir (v)","to substitute, replace"
"1498","traducir (v)","to translate"
"1499","transcurrir (v)","to occur, pass"
"1500","ubicar (v)","to find, locate"
"1501","abandonado (adj)","abandoned"
"1502","absurdo (adj)","absurd"
"1503","abundante (adj)","abundant, plentiful"
"1504","académico (adj)","academic"
"1505","adulto (nm)","adult, grown-up (nm)"
"1506","agresivo (adj)","aggressive"
"1507","agudo (adj)","sharp, acute"
"1508","alegre (adj)","happy, lively, cheerful"
"1509","amable (adj)","kind, nice, friendly"
"1510","anónimo (adj)","anonymous"
"1511","apropiado (adj)","appropriate"
"1512","árabe (adj)","Arab"
"1513","artificial (adj)","artificial"
"1514","atractivo (adj)","attractive (adj)"
"1515","básico (adj)","basic, essential"
"1516","caído (adj)","fallen"
"1517","cansado (adj)","tired, tiresome"
"1518","característico (adj)","characteristic"
"1519","católico (adj)","Catholic"
"1520","compuesto (adj)","composite, mixed"
"1521","comunista (adj)","Communist"
"1522","considerable (adj)","considerable"
"1523","creciente (adj)","growing, increasing"
"1524","cruel (adj)","cruel, harsh"
"1525","cuadrado (adj)","square"
"1526","culpable (adj)","guilty"
"1527","definido (adj)","definite"
"1528","democrático (adj)","democratic"
"1529","desagradable (adj)","unpleasant"
"1530","desarrollado (adj)","developed, grown"
"1531","desesperado (adj)","desperate, hopeless"
"1532","desierto (nm)","desert (nm)"
"1533","desnudo (adj)","nude, naked"
"1534","distante (adj)","distant, far, remote"
"1535","doloroso (adj)","painful"
"1536","dramático (adj)","dramatic"
"1537","ejemplar (nm)","copy, issue (nm)"
"1538","encerrado (adj)","locked up"
"1539","envuelto (adj)","wrapped"
"1540","equivocado (adj)","mistaken, wrong"
"1541","específico (adj)","specific"
"1542","espontáneo (adj)","spontaneous"
"1543","estricto (adj)","strict, rigorous"
"1544","excepcional (adj)","exceptional, unusual"
"1545","exclusivo (adj)","exclusive"
"1546","extenso (adj)","extensive, large"
"1547","externo (adj)","external, outward"
"1548","fantástico (adj)","fantastic, unreal"
"1549","favorable (adj)","favorable, suitable"
"1550","feo (adj)","ugly, nasty, rude"
"1551","formal (adj)","formal, polite"
"1552","fresco (adj)","cool, healthy, fresh (adj)"
"1553","generoso (adj)","generous"
"1554","gordo (adj)","fat, thick"
"1555","gris (adj)","gray, gloomy"
"1556","grueso (adj)","thick (adj)"
"1557","humilde (adj)","humble, modest"
"1558","idéntico (adj)","identical"
"1559","impresionante (adj)","impressive, astonishing"
"1560","indígena (adj)","indigenous, native"
"1561","industrial (adj)","industrial"
"1562","infinito (adj)","infinite (adj)"
"1563","injusto (adj)","unfair, unjust"
"1564","japonés (adj)","Japanese"
"1565","judío (adj)","Jewish"
"1566","legal (adj)","legal"
"1567","liberal (adj)","liberal"
"1568","masculino (adj)","masculine, manly, male"
"1569","mero (adj)","mere"
"1570","modesto (adj)","modest, humble"
"1571","moreno (adj)","dark, brown"
"1572","mutuo (adj)","mutual"
"1573","obrero (nm/f)","worker, laborer (nm/f)&nbsp;[also trabajador]"
"1574","occidental (adj)","occidental, western"
"1575","oculto (adj)","hidden, occult"
"1576","ordenado (adj)","organized, clean"
"1577","ordinario (adj)","vulgar, ordinary"
"1578","organizado (adj)","organized"
"1579","orgulloso (adj)","proud, arrogant [also soberbio]"
"1580","parado (adj)","stopped, standing"
"1581","paralelo (adj)","parallel"
"1582","pintado (adj)","painted"
"1583","poquito (adj)","little bit"
"1584","previsto (adj)","foreseen, planned"
"1585","primitivo (adj)","primitive"
"1586","prohibido (adj)","prohibited"
"1587","querido (adj)","dear, beloved"
"1588","razonable (adj)","reasonable"
"1589","remoto (adj)","remote, far-off"
"1590","repetido (adj)","repeated"
"1591","resuelto (adj)","resolved, determined"
"1592","rígido (adj)","rigid, stiff, firm"
"1593","romántico (adj)","romantic"
"1594","ruso (adj)","Russian"
"1595","salvaje (adj)","wild, savage, uncultivated"
"1596","secundario (adj)","secondary"
"1597","sensible (adj)","sensitive, sentient"
"1598","solitario (adj)","solitary, lonely"
"1599","sorprendente (adj)","surprising, astonishing"
"1600","sucesivo (adj)","successive, following"
"1601","tonto (adj)","stupid, dumb"
"1602","uniforme (nm)","uniform (nm)"
"1603","universitario (adj)","university (adj)"
"1604","urbano (adj)","urban, city, urbane"
"1605","urgente (adj)","urgent"
"1606","válido (adj)","valid"
"1607","valioso (adj)","valuable, precious"
"1608","variado (adj)","varied, mixed"
"1609","visible (adj)","visible"
"1610","acá (adv)","here, around here"
"1611","actualmente (adv)","now, at present"
"1612","adentro (adv) [also dentro]","inside"
"1613","aproximadamente (adv)","approximately"
"1614","necesariamente (adv)","necessarily"
"1615","normalmente (adv)","normally"
"1616","plenamente (adv)","fully"
"1617","posteriormente (adv)","afterwards"
"1618","principalmente (adv)","principally, mainly"
"1619","repente: de + repente (adv)","suddenly"
"1620","sencillamente (adv)","simply"
"1621","sumamente (adv)","extremely, highly"
"1622","últimamente (adv)","lately, recently"
"1623","ay (interj)","oh no! oh my!"
"1624","etcétera (n)","etcetera"
"1625","colega (nc)","colleague"
"1626","comerciante (nc)","merchant, businessman"
"1627","guía (nc)","guide, leader"
"1628","líder (nc)","leader"
"1629","pariente (nc)","relative (nc)"
"1630","abuela (nf)","grandmother"
"1631","actualidad (nf)","present time"
"1632","administración (nf)","administration"
"1633","admiración (nf)","admiration"
"1634","afirmación (nf)","statement, assertion"
"1635","ambición (nf)","ambition"
"1636","amenaza (nf)","threat"
"1637","anécdota (nf)","anecdote"
"1638","aplicación (nf)","application"
"1639","asociación (nf)","association"
"1640","atmósfera (nf)","atmosphere, environment"
"1641","banda (nf)","musical band, sash"
"1642","bandera (nf)","flag"
"1643","botella (nf)","bottle, flask"
"1644","broma (nf)","joke"
"1645","calma (nf)","calm, lull"
"1646","camisa (nf)","shirt"
"1647","casualidad (nf)","chance, coincidence"
"1648","caza (nf)","hunting (game)"
"1649","ceremonia (nf)","ceremony"
"1650","cita (nf)","appointment, date, quotation"
"1651","civilización (nf)","civilization"
"1652","colaboración (nf)","collaboration"
"1653","colonia (nf)","colony, cologne"
"1654","combinación (nf)","combination"
"1655","comisión (nf)","commission, committee"
"1656","comodidad (nf)","comfort, convenience"
"1657","compañera (nf)","female companion"
"1658","concepción (nf)","conception"
"1659","conferencia (nf)","conference, lecture"
"1660","consulta (nf)","consultation, advice"
"1661","contradicción (nf)","contradiction"
"1662","convicción (nf)","conviction"
"1663","copa (nf)","cup, glass, top of a tree"
"1664","copia (nf)","copy"
"1665","creencia (nf)","belief"
"1666","criatura (nf)","creature, child"
"1667","cuerda (nf)","cord, rope"
"1668","dama (nf)","lady, dame"
"1669","danza (nf)","dance"
"1670","debilidad (nf)","weakness"
"1671","década (nf)","decade"
"1672","desaparición (nf)","disappearance"
"1673","destrucción (nf)","destruction"
"1674","deuda (nf)","debt"
"1675","dignidad (nf)","dignity"
"1676","distribución (nf)","distribution"
"1677","doña (nf)","courtesy title (f), Mrs."
"1678","droga (nf)","drug"
"1679","edición (nf)","edition, publication"
"1680","ejecución (nf)","performance, execution"
"1681","entrega (nf)","delivery"
"1682","escritura (nf)","writing, scripture"
"1683","estancia (nf)","stay, stance, ranch"
"1684","evidencia (nf)","evidence, certainty"
"1685","expectativa (nf)","expectation, hope, prospect"
"1686","explosión (nf)","explosion"
"1687","extensión (nf)","extension, area, expanse"
"1688","fantasía (nf)","fantasy, fancy"
"1689","fase (nf)","phase, stage"
"1690","foto (nf)","photo, picture"
"1691","garantía (nf)","guarantee, warranty"
"1692","gloria (nf)","glory, fame"
"1693","herencia (nf)","inheritance, legacy"
"1694","herida (nf)","wound, injury"
"1695","herramienta (nf)","tool"
"1696","hipótesis (nf)","hypothesis"
"1697","huella (nf)","trace, track, footstep"
"1698","inclinación (nf)","slope, incline, tendency"
"1699","instalación (nf)","installation, facilities"
"1700","instancia (nf)","application, request"
"1701","intensidad (nf)","intensity, force"
"1702","inversión (nf)","investment, outlay"
"1703","invitación (nf)","invitation"
"1704","jornada (nf)","working day, shift"
"1705","lágrima (nf)","tear, teardrop"
"1706","lata (nf)","tin can"
"1707","leyenda (nf)","legend"
"1708","liberación (nf)","liberation"
"1709","limpieza (nf)","cleanliness, purity"
"1710","llave (nf)","key, faucet, wrench"
"1711","locura (nf)","madness, insanity"
"1712","lógica (nf)","logic"
"1713","luna (nf)","moon"
"1714","madrugada (nf)","dawn, daybreak [also alba]"
"1715","mamá (nf)","mom"
"1716","mancha (nf)","stain, spot"
"1717","maravilla (nf)","wonder, marvel"
"1718","media (nf)","average; a m.: halfways"
"1719","meta (nf)","goal, aim, purpose"
"1720","multitud (nf)","multitude"
"1721","nariz (nf)","nose"
"1722","nieve (nf)","snow"
"1723","ocupación (nf)","occupation, use"
"1724","oferta (nf)","offer, bid, supply"
"1725","ola (nf)","wave, billow"
"1726","onda (nf)","wave, ripple"
"1727","opción (nf)","option, choice"
"1728","oreja (nf)","ear"
"1729","orilla (nf)","shore, edge"
"1730","oscuridad (nf)","darkness"
"1731","paciencia (nf)","patience"
"1732","pantalla (nf)","screen, monitor"
"1733","pata (nf)","leg, paw"
"1734","patria (nf)","native land, fatherland"
"1735","pelota (nf)","ball"
"1736","pensión (nf)","pension, boarding house"
"1737","pista (nf)","clue, track, trace"
"1738","pluma (nf)","pen, feather"
"1739","posesión (nf)","possession"
"1740","preparación (nf)","preparation, training"
"1741","primavera (nf)","spring, spring-like"
"1742","promesa (nf)","promise"
"1743","proporción (nf)","proportion"
"1744","propuesta (nf)","proposal, proposition"
"1745","protesta (nf)","objection, protest"
"1746","reina (nf)","queen"
"1747","risa (nf)","laugh, chuckle"
"1748","roca (nf)","rock"
"1749","rodilla (nf)","knee"
"1750","ruina (nf)","ruin, collapse"
"1751","ruptura (nf)","break-up, rupture"
"1752","ruta (nf)","route"
"1753","selva (nf)","forest, jungle"
"1754","separación (nf)","separation"
"1755","simpatía (nf)","sympathy, affinity"
"1756","soledad (nf)","loneliness, solitude"
"1757","tarjeta (nf)","card"
"1758","tesis (nf)","thesis, exposition"
"1759","tía (nf)","aunt"
"1760","torre (nf)","tower"
"1761","totalidad (nf)","whole, totality"
"1762","transformación (nf)","transformation"
"1763","tristeza (nf)","sadness"
"1764","tropa (nf)","troops, forces"
"1765","tumba (nf)","tomb, grave"
"1766","unión (nf)","union"
"1767","urgencia (nf)","urgency"
"1768","vaca (nf)","cow"
"1769","variedad (nf)","variety"
"1770","vela (nf)","candle, sail, vigil"
"1771","vergüenza (nf)","embarrassment"
"1772","viuda (nf)","widow"
"1773","ala (nf el)","wing, flank"
"1774","aceite (nm)","oil"
"1775","afán (nm)","eagerness, zeal, effort"
"1776","afecto (nm)","affection, fondness"
"1777","alcohol (nm)","alcohol"
"1778","almacén (nm)","warehouse, store"
"1779","ángel (nm)","angel"
"1780","ángulo (nm)","angle"
"1781","anuncio (nm)","advertisement, announcement"
"1782","apellido (nm)","last name"
"1783","arco (nm)","arch, arc, bow"
"1784","asiento (nm)","seat, chair"
"1785","auto (nm)","auto, car"
"1786","ave (nm)","bird [also pájaro]"
"1787","azar (nm)","random, chance, hazard"
"1788","azúcar (nm)","sugar"
"1789","baile (nm)","dance, ball"
"1790","bar (nm)","snack bar, café"
"1791","bienestar (nm)","wellbeing, welfare"
"1792","bloque (nm)","block"
"1793","bolsillo (nm)","pocket"
"1794","cadáver (nm)","corpse, body"
"1795","candidato (nm)","candidate"
"1796","caos (nm)","chaos"
"1797","capitán (nm)","captain, chief"
"1798","cariño (nm)","love, affection"
"1799","centímetro (nm)","centimeter"
"1800","ciclo (nm)","cycle"
"1801","cierre (nm)","zipper, closing"
"1802","club (nm)","club, society"
"1803","código (nm)","code"
"1804","combate (nm)","combat, battle, fight"
"1805","concierto (nm)","concert, concerto"
"1806","consumo (nm)","consumption"
"1807","contraste (nm)","contrast"
"1808","creador (nm)","creator"
"1809","cristal (nm)","glass, crystal, window"
"1810","cultivo (nm)","cultivation, crop"
"1811","debate (nm)","debate"
"1812","delito (nm)","crime, offense"
"1813","deporte (nm)","sport"
"1814","desorden (nm)","disorder, mess"
"1815","despacho (nm)","office, study"
"1816","diseño (nm)","design"
"1817","doble (nm)","double (nm)"
"1818","drama (nm)","drama"
"1819","duro (nm)","money (nm)"
"1820","eco (nm)","echo, response"
"1821","episodio (nm)","episode, incident"
"1822","escándalo (nm)","scandal"
"1823","esclavo (nm)","slave"
"1824","esquema (nm)","outline, diagram, plan"
"1825","establecimiento (nm)","establishment"
"1826","fantasma (nm)","ghost, phantom"
"1827","funcionamiento (nm)","functioning, operation"
"1828","ganado (nm)","livestock, cattle"
"1829","gas (nm)","gas"
"1830","giro (nm)","turn, draft, expression"
"1831","héroe (nm)","hero"
"1832","hielo (nm)","ice"
"1833","homenaje (nm)","homage, tribute"
"1834","horario (nm)","schedule, timetable"
"1835","horizonte (nm)","horizon"
"1836","horror (nm)","horror, atrocity"
"1837","impacto (nm)","impact"
"1838","inconveniente (nm)","inconvenience, drawback"
"1839","intercambio (nm)","exchange, interchange"
"1840","junio (nm)","June"
"1841","laboratorio (nm)","laboratory"
"1842","líquido (nm)","liquid"
"1843","lunes (nm)","Monday"
"1844","mando (nm)","command, authority"
"1845","manejo (nm)","handling, management"
"1846","mapa (nm)","map"
"1847","marzo (nm)","March"
"1848","matiz (nm)","shade, tint, nuance"
"1849","máximo (nm)","maximum (nm)"
"1850","metal (nm)","metal"
"1851","milagro (nm)","miracle"
"1852","mínimo (nm)","minimum (nm)"
"1853","misterio (nm)","mystery"
"1854","mito (nm)","myth"
"1855","muerto (nm)","dead person (nm)"
"1856","noviembre (nm)","November"
"1857","<div>núcleo&nbsp;(nm)</div>","nucleus, core"
"1858","objetivo (adj)","objective, impartial (adj)"
"1859","odio (nm)","hatred"
"1860","orgullo (nm)","pride"
"1861","oriente (nm)","East"
"1862","palo (nm)","stick, pole"
"1863","panorama (nm)","panorama, landscape"
"1864","pantalón (nm)","pants, trousers"
"1865","paquete (nm)","package, packet"
"1866","partidario (nm)","supporter, partisan"
"1867","pasaje (nm)","fare, passage, lane"
"1868","paseo (nm)","walk, ride"
"1869","perdón (nm)","forgiveness, pardon"
"1870","perfil (nm)","profile, outline"
"1871","pez (nm)","fish (alive)"
"1872","planeta (nm)","planet"
"1873","rayo (nm)","ray, beam, lightning"
"1874","rechazo (nm)","rejection, refusal"
"1875","recorrido (nm)","journey, itinerary, route"
"1876","regalo (nm)","gift, present"
"1877","registro (nm)","register, record"
"1878","reino (nm)","kingdom, reign"
"1879","relato (nm)","tale, story"
"1880","retrato (nm)","portrait, photograph"
"1881","rigor (nm)","harshness, rigor"
"1882","rincón (nm)","corner, nook"
"1883","rostro (nm)","face, countenance"
"1884","rumbo (nm)","direction, course, bearing"
"1885","sabor (nm)","taste, flavor, sensation"
"1886","síntoma (nm)","symptom"
"1887","socio (nm)","member, partner"
"1888","talento (nm)","talent, skill"
"1889","taller (nm)","workshop, shop"
"1890","templo (nm)","temple, church"
"1891","terror (nm)","terror, horror"
"1892","testimonio (nm)","testimony, evidence"
"1893","toro (nm)","bull"
"1894","tráfico (nm)","traffic, trade"
"1895","tratado (nm)","treaty, treatise"
"1896","turno; en turno a (nm)","turn; shift &nbsp;"
"1897","universo (nm)","universe"
"1898","varón (nm)","male, man"
"1899","vaso (nm)","drinking glass, vase"
"1900","vestido (nm)","dress (nm)"
"1901","vidrio (nm)","glass, pane"
"1902","viernes (nm)","Friday"
"1903","voto (nm)","vote"
"1904","pintor (nm/f)","painter"
"1905","vendedor (nm/f)","salesperson"
"1906","cura (nmf)","priest (m), cure (f)"
"1907","papá (nm)","dad"
"1908","catorce (num)","fourteen"
"1909","cero (num)","zero, naught, nil"
"1910","doscientos (num)","two hundred"
"1911","ochenta (num)","eighty"
"1912","trece (num)","thirteen"
"1913","veinticinco (num)","twenty-five"
"1914","té (nm)","tea"
"1915","abarcar (v)","to encompass, comprise"
"1916","abordar (v)","to board, get in/on"
"1917","absorber (v)","to absorb, soak up"
"1918","acceder (v)","to consent, agree, accede"
"1919","acomodar (v)","to accommodate, be/make comfortable"
"1920","adaptar (v)","to adapt"
"1921","agarrar (v)","to grasp, catch"
"1922","amenazar (v)","to threaten"
"1923","anticipar (v)","to anticipate, advance"
"1924","apagar (v)","to turn off, extinguish"
"1925","apretar (v)","to squeeze, tighten, compress"
"1926","aproximar (v)","to come near, closer"
"1927","asomar (v)","to appear, show, stick (out)"
"1928","atar (v)","to tie (up)"
"1929","avisar (v)","to notify [also notificar]"
"1930","bailar (v)","to dance"
"1931","brindar (v)","to offer"
"1932","calificar (v)","to grade, rate, qualify"
"1933","callar (v)","to be/make quiet"
"1934","caracterizar (v)","to characterize, portray"
"1935","castigar (v)","to punish"
"1936","cesar (v)","to cease, stop"
"1937","colgar (v)","to hang up"
"1938","combinar (v)","to combine"
"1939","competir (v)","to compete"
"1940","comportar (v)","to behave"
"1941","comprometer (v)","to compromise"
"1942","conquistar (v)","to conquer, win over"
"1943","contratar (v)","to hire, contract"
"1944","copiar (v)","to copy"
