"index","word","kroman","meaning","kanja"
"1436","가요","ga-yo","song","歌謠"
"1437","쌓다","ssah-da","to pile up;<div>to accumulate</div>",""
"1438","된장찌개","doen-jang-jji-gae","soy bean paste stew","-醬--"
"1439","서랍","seo-rab","drawer",""
"1440","통장","tong-jang","bankbook","通帳"
"1441","돌려주다","dor-ryeo-ju-da","to give back, return something",""
"1442","경주","gyeong-ju","race, run;<div>Gyeongju</div>","競走, 慶州"
"1443","스스로","seu-seu-ro","oneself",""
"1444","장보다","jang-bo-da","to go to market, go grocery shopping","場"
"1445","시골","si-gor","country, rural area",""
"1446","자판기","ja-pan-gi","vending machine","自販機"
"1447","붙이다","but-i-da","to stick, attach",""
"1448","한자","han-ja","Chinese character","漢字"
"1449","스웨터","seu-we-teo","sweater",""
"1450","입구","ib-gu","entrance, gateway","入口"
"1451","붉다","burk-da","to be red, crimson",""
"1452","신분증","sin-bun-jeung","ID card","身分證"
"1453","뱀","baem","snake",""
"1454","예매하다","ye-mae-ha-da","to book, reserve, buy in advance;<div>to sell tickets in advance</div>","豫買,&nbsp;豫賣"
"1455","웃음","us-eum","laughter, smile",""
"1456","식빵","sig-bbang","bread","食-"
"1457","그치다","geu-ci-da","to stop (doing), cease",""
"1458","단풍","dan-pung","tinged autumn leaves","丹楓"
"1459","두세","du-se","two or three",""
"1460","입장권","ib-jang-gweon","admission ticket","入場券"
"1461","찌다","jji-da","to gain weight;<div>to be steaming hot, be sultry;</div><div>to cook with steam</div>",""
"1462","신부","sin-bu","bride;<div>Catholic priest</div>","新婦,&nbsp;神父"
"1463","달러","dar-reo","dollar",""
"1464","소중하다","so-jung-ha-da","to be valuable, important, precious","所重"
"1465","드디어","deu-di-eo","finally, at (long) last",""
"1466","속도","sog-do","speed, pace","速度"
"1467","큰소리","keun-so-ri","loud voice;<div>bragging</div>",""
"1468","연결하다","yeon-gyeor-ha-da","to connect, link, attach","連結"
"1469","미역국","mi-yeog-gug","seaweed soup",""
"1470","중심","jung-sim","center, core, balance","中心,&nbsp;重心"
"1471","틀다","teur-da","to twist, turn;<div>to switch on</div>",""
"1472","동시에","dong-si-e","at the same time","同時"
"1473","어린아이","eo-rin-a-i","child",""
"1474","능력","neung-ryeog","ability, capability","能力"
"1475","바르다","ba-reu-da","to apply, put on",""
"1476","기타","gi-ta","guitar;<br>etc.","其他"
"1477","바깥","ba-ggat","outside",""
"1478","화려하다","hwa-ryeo-ha-da","to be splendid, flashy","華麗"
"1479","옷걸이","os-geor-i","coat hanger",""
"1480","명절","myeong-jeor","(national) holiday","名節"
"1481","굵다","gurk-da","to be thick",""
"1482","관광지","gwan-gwang-ji","tourist attraction [spot]","觀光地"
"1483","앞쪽","ap-jjog","the front",""
"1484","왕","wang","king","王"
"1485","줄이다","jur-i-da","to reduce, decrease",""
"1486","각각","gag-gag","each, every","各各"
"1487","상추","sang-cu","lettuce",""
"1488","진하다","jin-ha-da","<div>to be dark;</div>to be thick, strong, rich","津"
"1489","그저께","geu-jeo-gge","day before yesterday",""
"1490","약사","yag-sa","pharmacist","藥師"
"1491","찾아보다","caj-a-bo-da","to look for, search",""
"1492","차례","ca-rye","order, sequence;<div>time, turn;</div><div>memorial service for ancestors</div>","次例,&nbsp;茶禮"
"1493","빌딩","bir-ding","building",""
"1494","미용실","mi-yong-sir","beauty salon, hairdresser's","美容室"
"1495","틀리다","teur-ri-da","to be wrong, mistaken;<div>to make a mistake</div>",""
"1496","활동","hwar-dong","activity","活動"
"1497","여기저기","yeo-gi-jeo-gi","here and there",""
"1498","분명하다","bun-myeong-ha-da","to be clear, obvious","分明"
"1499","깊이","gip-i","depth;<div>deeply</div>",""
"1500","인간","in-gan","human being, mankind","人間"
"1501","검다","geom-da","to be black",""
"1502","친척","cin-ceog","relatives","親戚"
"1503","떡볶이","ddeog-bogg-i","rice-stick with vegetables",""
"1504","성적","seong-jeog","grade, mark;<div>sexual</div>","成績,&nbsp;性的"
"1505","기르다","gi-reu-da","to raise, look after;<div>to grow</div>",""
"1506","정거장","jeong-geo-jang","station, stop","停車場"
"1507","서비스","seo-bi-seu","service",""
"1508","교환하다","gyo-hwan-ha-da","to exchange, trade","交換"
"1509","열흘","yeor-heur","ten days",""
"1510","할인","har-in","discount","割引"
"1511","모자라다","mo-ja-ra-da","to be insufficient",""
"1512","방문","bang-mun","room door","房門"
"1513","아무튼","a-mu-teun","anyway, in any case",""
"1514","검사","geom-sa","prosecutor, district attorney;<div>examination, inspection, check</div>","檢事,&nbsp;檢査"
"1515","줍다","jub-da","to pick up, gather up",""
"1516","운동복","un-dong-bog","sportswear","運動服"
"1517","김","gim","dried seaweed;<div>steam</div>",""
"1518","통화하다","tong-hwa-ha-da","to talk over the telephone","通話"
"1519","아래쪽","a-rae-jjog","down, lower part",""
"1520","손녀","son-nyeo","granddaughter","孫女"
"1521","썰다","sseor-da","to cut (up), chop, slice",""
"1522","정답","jeong-dab","correct answer","正答"
"1523","아나운서","a-na-un-seo","announcer, news anchor",""
"1524","주일","ju-ir","week;<div>Sunday, Lord's day</div>","週日,&nbsp;主日"
"1525","기뻐하다","gi-bbeo-ha-da","to be pleased, happy, glad",""
"1526","회원","hoe-weon","member, membership","會員"
"1527","똑같이","ddog-gat-i","equally, evenly",""
"1528","당연하다","dang-yeon-ha-da","to be reasonable, natural","當然"
"1529","김치찌개","gim-ci-jji-gae","kimchi stew",""
"1530","정신","jeong-sin","mind, spirit, soul","精神"
"1531","매다","mae-da","to tie, bind",""
"1532","동전","dong-jeon","(copper) coin","銅錢"
"1533","속옷","sog-os","underwear",""
"1534","학생증","hag-saeng-jeung","student ID","學生證"
"1535","그만두다","geu-man-du-da","to quit (work, school, etc.);<div>to give up (drinking etc.)</div>",""
"1536","자기","ja-gi","self, oneself","自己"
"1537","메일","me-ir","mail",""
"1538","단순하다","dan-sun-ha-da","to be simple","單純"
"1539","장마","jang-ma","rainy season, rainy spell",""
"1540","수학","su-hag","mathematics;<div>study</div>","數學,&nbsp;修學"
"1541","들르다","deur-reu-da","to stop by",""
"1542","송편","song-pyeon","half-moon-shaped rice cake","松-"
"1543","짜증","jja-jeung","irritation, annoyance",""
"1544","초록색","co-rog-saeg","green","草綠色"
"1545","돌아가시다","dor-a-ga-si-da","to pass away, die (hon.)",""
"1546","시대","si-dae","period, era","時代"
"1547","슬픔","seur-peum","sorrow, sadness",""
"1548","거절하다","geo-jeor-ha-da","to refuse, decline, reject","拒絶"
"1549","혀","hyeo","tongue",""
"1550","두통","du-tong","headache","頭痛"
"1551","얼다","eor-da","to freeze, be frozen",""
"1552","조건","jo-geon","condition, term","條件"
"1553","새로","sae-ro","newly",""
"1554","우표","u-pyo","stamp","郵票"
"1555","누르다","nu-reu-da","to press down, push down, to suppress",""
"1556","풍경","pung-gyeong","landscape, scenery","風景"
"1557","터미널","teo-mi-neor","terminal",""
"1558","도망가다","do-mang-ga-da","to run away, escape","逃亡"
"1559","너희","neo-heui","you (plural)",""
"1560","영화관","yeong-hwa-gwan","movie theater","映畫館"
"1561","재채기하다","jae-cae-gi-ha-da","to sneeze",""
"1562","경제","gyeong-je","economy","經濟"
"1563","갈비탕","gar-bi-tang","beef rib soup",""
"1564","영하","yeong-ha","temperature below freezing","零下"
"1565","감다","gam-da","to wind, roll;<div>to wash;</div><div>to close one's eyes</div>",""
"1566","만일","man-ir","in case, by any chance, suppose","萬一"
"1567","머리카락","meo-ri-ka-rag","hair",""
"1568","변화하다","byeon-hwa-ha-da","to change, alter","變化"
"1569","버릇","beo-reus","habit;<div>manners</div>",""
"1570","연말","yeon-mar","end of the year","年末"
"1571","밝히다","bark-hi-da","to brighten (up), lighten;<div>to clarify, disclose</div>",""
"1572","점수","jeom-su","score, mark, grade","點數"
"1573","스케이트","seu-ke-i-teu","skates",""
"1574","서양","seo-yang","the West","西洋"
"1575","뽑다","bbob-da","to pick, draw, pull out",""
"1576","감","gam","persimmon;<div>feeling</div>","減"
"1577","코끼리","ko-ggi-ri","elephant",""
"1578","결석하다","gyeor-seog-ha-da","to be absent (from school)","缺席"
"1579","꽃집","ggoc-jib","flower shop",""
"1580","신랑","sin-rang","groom","新郞"
"1581","팔리다","par-ri-da","to be sold, be in demand",""
"1582","환경","hwan-gyeong","environment","環境"
"1583","찬물","can-mur","cold water",""
"1584","일식","ir-sig","Japanese-style food;<br>solar eclipse","日食,&nbsp;日蝕"
"1585","익숙해지다","ig-sug-hae-ji-da","to get used to",""
"1586","전철","jeon-ceor","subway (train)","電鐵"
"1587","이웃","i-us","neighbor",""
"1588","출퇴근하다","cur-toe-geun-ha-da","to commute","出退勤"
"1589","치킨","ci-kin","chicken",""
"1590","연휴","yeon-hyu","long holiday, consecutive holidays","連休"
"1591","줄다","jur-da","to decrease, shrink, lose size",""
"1592","국가","gug-ga","state, nation","國家"
"1593","장난감","jang-nan-gam","toy",""
"1594","시어머니","si-eo-meo-ni","mother-in-law (of a woman)","媤-"
"1595","그만하다","geu-man-ha-da","to stop (doing something)",""
"1596","연극","yeon-geug","play, theatrical performance","演劇"
"1597","모임","mo-im","meeting, gathering",""
"1598","가능하다","ga-neung-ha-da","to be possible","可能"
"1599","주머니","ju-meo-ni","pocket, bag, pouch",""
"1600","전화기","jeon-hwa-gi","telephone (set)","電話機"
"1601","화내다","hwa-nae-da","to get angry, vent one's anger",""
"1602","청년","ceong-nyeon","young man, young people","靑年"
"1603","손바닥","son-ba-dag","palm of the hand",""
"1604","기본","gi-bon","basis, foundation, basics","基本"
"1605","심다","sim-da","to plant",""
"1606","매달","mae-dar","every month","每-"
"1607","콘서트","kon-seo-teu","concert",""
"1608","고생하다","go-saeng-ha-da","to suffer, have a hard time, have trouble","苦生"
"1609","덜","deor","less",""
"1610","결국","gyeor-gug","after all, finally, in the end","結局"
"1611","가리키다","ga-ri-ki-da","to point to",""
"1612","솔직히","sor-jig-hi","honestly, frankly","率直"
"1613","볶음밥","bogg-eum-bab","fried rice",""
"1614","정치","jeong-ci","politics","政治"
"1615","따르다","dda-reu-da","to follow, go after;<div>to pour, fill</div>",""
"1616","온도","on-do","temperature","溫度"
"1617","햇빛","haes-bic","sunlight, sunshine",""
"1618","한가하다","han-ga-ha-da","to be free, have leisure, have time to spare","閑暇"
"1619","마당","ma-dang","yard, garden",""
"1620","당신","dang-sin","you (specific usage)","當身"
"1621","뜨다","ddeu-da","to float;<div>to rise;</div><div>to open (eyes)</div>",""
"1622","과학","gwa-hag","science","科學"
"1623","블라우스","beur-ra-u-seu","blouse",""
"1624","무료","mu-ryo","free of charge (more formal)","無料"
"1625","튀기다","twi-gi-da","to fry;<div>to splash</div>",""
"1626","항공","hang-gong","aviation, flight","航空"
"1627","쇠고기","soe-go-gi","beef",""
"1628","기대하다","gi-dae-ha-da","to expect, look forward","期待"
"1629","하늘색","ha-neur-saeg","sky blue",""
"1630","기사","gi-sa","news article;<div>driver, chauffeur;</div><div>engineer</div>","記事,&nbsp;技士"
"1631","모시다","mo-si-da","to accompany, take;<div>to treat;</div><div>to serve (hon.)</div>",""
"1632","한옥","han-og","Korean-style house","韓屋"
"1633","겉","geot","the outside, surface",""
"1634","경우","gyeong-u","case, circumstances, scenario","境遇"
"1635","씹다","ssib-da","to chew",""
"1636","양식","yang-sig","style, pattern;<br />Western-style food;<br />good sense;<br />culture, farming (of fish)","樣式,&nbsp;洋食,&nbsp;良識,&nbsp;養殖"
"1637","축구공","cug-gu-gong","soccer ball",""
"1638","발견하다","bar-gyeon-ha-da","to discover, find","發見"
"1639","카레","ka-re","curry",""
"1640","인생","in-saeng","life (human)","人生"
"1641","지루하다","ji-ru-ha-da","to be boring",""
"1642","체육관","ce-yug-gwan","gym","體育館"
"1643","낚시","nagg-si","fishing",""
"1644","원래","weon-rae","originally, by nature, always","元來·原來"
"1645","메다","me-da","to carry on one's shoulder;<div>to choke (up)</div>",""
"1646","중앙","jung-ang","center, middle","中央"
"1647","나머지","na-meo-ji","the rest, the remainder",""
"1648","확인하다","hwag-in-ha-da","to confirm, verify, check","確認"
"1649","서너","seo-neo","three or four",""
"1650","교사","gyo-sa","instructor, teacher","敎師"
"1651","없어지다","eobs-eo-ji-da","<div>to lose, be lost;</div><div>to disappear</div>",""
"1652","시설","si-seor","establishment, facilities","施設"
"1653","시간표","si-gan-pyo","schedule, timetable","時間表"
"1654","가늘다","ga-neur-da","to be thin, slender",""
"1655","공사","gong-sa","construction","工事"
"1656","다이어트","da-i-eo-teu","diet",""
"1657","연구","yeon-gu","research","硏究"
"1658","대단하다","dae-dan-ha-da","to be great, tremendous;<div>to be wonderful</div>",""
"1659","국적","gug-jeog","nationality, citizenship","國籍"
"1660","및","mic","and, as well as",""
"1661","배탈나다","bae-tar-na-da","to have a stomachache","-縫"
"1662","칼국수","kar-gug-su","chopped noodles",""
"1663","전통","jeon-tong","tradition","傳統"
"1664","그립다","geu-rib-da","to be missed, be beloved;<div>to miss, long for</div>",""
"1665","중국집","jung-gug-jib","Chinese restaurant","中國-"
"1666","차이","ca-i","difference","差異"
"1667","섭섭하다","seob-seob-ha-da","to be sorry, disappointed, regret",""
"1668","한편","han-pyeon","one side, one hand;<div>meanwhile</div>","-便"
"1669","글씨","geur-ssi","letter, character (handwritten)",""
"1670","국민","gug-min","people, citizen","國民"
"1671","뛰어가다","ddwi-eo-ga-da","to run, dash",""
"1672","단점","dan-jeom","weakness, flaw, shortcoming","短點"
"1673","배드민턴","bae-deu-min-teon","badminton",""
"1674","완벽하다","wan-byeog-ha-da","to be perfect, flawless","完璧"
"1675","무척","mu-ceog","very much",""
"1676","진심으로","jin-sim-eu-ro","sincerely, from one's heart","眞心"
"1677","귀찮다","gwi-canh-da","to be troublesome, bothersome, annoying",""
"1678","내과","nae-gwa","internal medicine","內科"
"1679","스키장","seu-ki-jang","ski resort","ski場"
"1680","미끄러지다","mi-ggeu-reo-ji-da","to slide, slip",""
"1681","삼계탕","sam-gye-tang","chicken soup with ginseng","蔘鷄湯"
"1682","껌","ggeom","chewing gum",""
"1683","책임","caeg-im","responsibility;<div>blame</div>","責任"
"1684","갚다","gap-da","to pay back, repay",""
"1685","금년","geum-nyeon","this year","今年"
"1686","수저","su-jeo","spoon and chopsticks (traditional Korean utensils)",""
"1687","통하다","tong-ha-da","to go through, flow;<div>to be circulated;</div><div>to be understood</div>","通"
"1688","집안일","jib-an-ir","housework, housekeeping;<div>household affair</div>",""
"1689","예습","ye-seub","preparation, rehearsal","豫習"
"1690","일어서다","ir-eo-seo-da","to stand up",""
"1691","대전","dae-jeon","Daejeon;<div>great war;</div><div>state ceremony</div>","大田,&nbsp;大戰,&nbsp;大典"
"1692","운전사","un-jeon-sa","driver, chauffeur","運轉士"
"1693","밉다","mib-da","to be hateful, dislikeable;<div>to be ugly</div>",""
"1694","소년","so-nyeon","young boy","少年"
"1695","올림픽","or-rim-pig","Olympics",""
"1696","종일","jong-ir","all day long","終日"
"1697","귀여워하다","gwi-yeo-weo-ha-da","to treat affectionately",""
"1698","시절","si-jeor","years (college years etc.), period of life","時節"
"1699","막걸리","mag-geor-ri","raw rice wine",""
"1700","심각하다","sim-gag-ha-da","to be serious, grave, severe","深刻"
"1701","되게","doe-ge","very, really, extremely",""
"1702","과","gwa","department;<div>lesson, chapter</div>","科,&nbsp;課"
"1703","미치다","mi-ci-da","to go mad, crazy;<div>to reach</div>",""
"1704","공연","gong-yeon","public performance","公演"
"1705","여행사","yeo-haeng-sa","travel agency","旅行社"
"1706","접다","jeob-da","to fold",""
"1707","순간","sun-gan","moment, instant","瞬間"
"1708","하얀색","ha-yan-saeg","white",""
"1709","피부","pi-bu","skin","皮膚"
"1710","웃기다","us-gi-da","to amuse, to be funny",""
"1711","정보","jeong-bo","information","情報"
"1712","바이올린","ba-i-or-rin","violin",""
"1713","퇴원하다","toe-weon-ha-da","to be discharged from the hospital","退院"
"1714","언젠가","eon-jen-ga","someday",""
"1715","휴대전화","hyu-dae-jeon-hwa","cell phone","携帶電話"
"1716","물다","mur-da","to bite;<div>to pay (for)</div>",""
"1717","절대로","jeor-dae-ro","never;<div>absolutely, completely</div>","絶對"
"1718","표현","pyo-hyeon","expression (verbal, grammatical etc.)","表現"
"1719","잡히다","jab-hi-da","to be caught, be grabbed",""
"1720","억","eog","hundred million","億"
"1721","참외","cam-oe","oriental melon",""
"1722","굉장히","goeng-jang-hi","very, extremely, very much","宏壯"
"1723","게으르다","ge-eu-reu-da","to be idle, lazy",""
"1724","매력","mae-ryeog","charm, attractiveness","魅力"
"1725","아래층","a-rae-ceung","downstairs",""
"1726","다행이다","da-haeng-i-da","to be lucky, fortunate","多幸"
"1727","손목","son-mog","wrist",""
"1728","화분","hwa-bun","flower pot","花盆"
"1729","떨다","ddeor-da","to tremble, shake, vibrate",""
"1730","무궁화","mu-gung-hwa","Rose of Sharon","無窮花"
"1731","대중","dae-jung","the (general) public","大衆"
"1732","따라가다","dda-ra-ga-da","to follow, go after, tag along",""
"1733","기술","gi-sur","skill, technique;<div>description</div>","技術,&nbsp;記述"
"1734","치즈","ci-jeu","cheese",""
"1735","주제","ju-je","subject, theme, topic","主題"
"1736","커지다","keo-ji-da","to grow big, expand;<div>to become serious</div>",""
"1737","세배","se-bae","New Year's bow","歲拜"
"1738","맞은편","maj-eun-pyeon","opposite side","-便"
"1739","저금하다","jeo-geum-ha-da","to save money, make a deposit","貯金"
"1740","설마","seor-ma","impossibly, can't be true",""
"1741","성인","seong-in","adult, grown-up","成人"
"1742","시다","si-da","to be sour",""
"1743","회","hoe","time, round (count.);<div>lime;</div><div>raw fish</div>","回,&nbsp;灰,&nbsp;膾"
"1744","안방","an-bang","master bedroom","-房"
"1745","받아들이다","bad-a-deur-i-da","to accept",""
"1746","장점","jang-jeom","advantage, strength, strong point","長點"
"1747","안개","an-gae","fog, mist",""
"1748","공중전화","gong-jung-jeon-hwa","public phone","公衆電話"
"1749","나서다","na-seo-da","to leave, set out;<div>to come forward;<br /><div>to meddle</div></div>",""
"1750","좌석","jwa-seog","seat","座席"
"1751","트럭","teu-reog","truck",""
"1752","집중하다","jib-jung-ha-da","to concentrate","集中"
"1753","떡국","ddeog-gug","rice-cake soup",""
"1754","용돈","yong-don","pocket money, allowance","用-"
"1755","숨다","sum-da","to hide, disappear",""
"1756","초대장","co-dae-jang","(written) invitation","招待狀"
"1757","손자","son-ja","grandson","孫子"
"1758","자연스럽다","ja-yeon-seu-reob-da","to be natural","自然-"
"1759","문장","mun-jang","sentence","文章"
"1760","물음","mur-eum","question",""
"1761","막","mag","just, just now;<div>severely, carelessly;</div><div>curtain</div>","幕"
"1762","깨지다","ggae-ji-da","to be broken, get broken",""
"1763","점원","jeom-weon","salesperson","店員"
"1764","큰일","keun-ir","serious matter",""
"1765","상상하다","sang-sang-ha-da","to imagine","想像"
"1766","헬스클럽","her-seu-keur-reob","health club, gym",""
"1767","지역","ji-yeog","area, region","地域"
"1768","닿다","dah-da","to reach, touch",""
"1769","예정","ye-jeong","schedule","豫定"
"1770","안내문","an-nae-mun","notice","案內文"
"1771","알아듣다","ar-a-deud-da","to understand, catch, see",""
"1772","영상","yeong-sang","picture, image, video;<div>temperature above freezing</div>","映像,&nbsp;零上"
"1773","튀김","twi-gim","fried food",""
"1774","군대","gun-dae","army, troops","軍隊"
"1775","이루다","i-ru-da","to achieve, accomplish;<div>to make, form</div>",""
"1776","당장","dang-jang","on the spot, immediately","當場"
"1777","검정","geom-jeong","black",""
"1778","대하다","dae-ha-da","to face, confront;<div>to treat</div>","對"
"1779","엉덩이","eong-deong-i","butt, buttocks",""
"1780","편","pyeon","side","便"
"1781","인터뷰","in-teo-byu","interview",""
"1782","합격하다","hab-gyeog-ha-da","to pass an exam","合格"
"1783","당근","dang-geun","carrot",""
"1784","불교","bur-gyo","Buddhism","佛敎"
"1785","끼다","ggi-da","to be caught (in), be involved;<div>to wear;</div><div>to cloud over, be foggy</div>",""
"1786","최대","coe-dae","the largest, the biggest","最大"
"1787","영수증","yeong-su-jeung","receipt","領收證"
"1788","깜빡하다","ggam-bbag-ha-da","to forget, slip one's mind",""
"1789","사촌","sa-con","cousin","四寸"
"1790","가만히","ga-man-hi","still, motionlessly",""
"1791","평생","pyeong-saeng","lifetime, one's entire life","平生"
"1792","꿈꾸다","ggum-ggu-da","to dream",""
"1793","가정","ga-jeong","home, family;<br>supposition, assumption","家庭,&nbsp;假定"
"1794","눈앞","nun-ap","in front of one's eyes, just ahead",""
"1795","포기하다","po-gi-ha-da","to give up","抛棄"
"1796","짝","jjag","one of a set, partner",""
"1797","욕심","yog-sim","greed","慾心"
"1798","제대로","je-dae-ro","appropriately, properly",""
"1799","위하다","wi-ha-da","to do for the sake of, on behalf of","爲"
"1800","뉴욕","nyu-yog","New York",""
"1801","번역","beon-yeog","translation","飜譯"
"1802","끌다","ggeur-da","to pull, draw",""
"1803","일식집","ir-sig-jib","Japanese restaurant","日食-"
"1804","안주","an-ju","appetizers served with drinks","按酒"
"1805","쌀쌀하다","ssar-ssar-ha-da","to be chilly",""
"1806","과장님","gwa-jang-nim","head of department, chief","課長-"
"1807","더욱","deo-ug","increasingly, more and more",""
"1808","일반","ir-ban","general, common","一般"
"1809","내놓다","nae-noh-da","to put out, take out;<div>to show, present</div>",""
"1810","택배","taeg-bae","parcel delivery service","宅配"
"1811","배꼽","bae-ggob","navel",""
"1812","외식하다","oe-sig-ha-da","to dine out","外食"
"1813","아무래도","a-mu-rae-do","anyway, by the look of (it);<div>by any means</div>",""
"1814","작가","jag-ga","writer, author","作家"
"1815","낳다","nah-da","to give birth",""
"1816","겁","geob","fear, fright","怯"
"1817","대표","dae-pyo","representative","代表"
"1818","살펴보다","sar-pyeo-bo-da","to look around, watch for",""
"1819","공간","gong-gan","space, room","空間"
"1820","스타일","seu-ta-ir","style",""
"1821","사자","sa-ja","lion","獅子"
"1822","비키다","bi-ki-da","get out of the way, step aside",""
"1823","잡채","jab-cae","noodles with sauteed vegetables","雜菜"
"1824","벌레","beor-re","bug, insect",""
"1825","보호하다","bo-ho-ha-da","to protect","保護"
"1826","단추","dan-cu","button",""
"1827","향기","hyang-gi","scent, fragrance","香氣"
"1828","잠들다","jam-deur-da","to fall asleep",""
"1829","비용","bi-yong","expense, cost","費用"
"1830","여행지","yeo-haeng-ji","destination","旅行地"
"1831","나타내다","na-ta-nae-da","to express;<div>to show, display</div>",""
"1832","발전","bar-jeon","development, growth","發展"
"1833","딱","ddag","exactly, precisely",""
"1834","재산","jae-san","property, fortune, wealth","財産"
"1835","살리다","sar-ri-da","to save one's life, spare;<div>to make good use</div>",""
"1836","표정","pyo-jeong","facial expression","表情"
"1837","그룹","geu-rub","group",""
"1838","독서하다","dog-seo-ha-da","to read books","讀書"
"1839","더위","deo-wi","the heat",""
"1840","분식","bun-sig","flour-based food","粉食"
"1841","희다","heui-da","to be white, fair",""
"1842","일상생활","ir-sang-saeng-hwar","everyday life","日常生活"
"1843","사회","sa-hoe","society, community","社會"
"1844","미워하다","mi-weo-ha-da","to hate, loathe",""
"1845","분명히","bun-myeong-hi","clearly, definitely","分明"
"1846","보기","bo-gi","example",""
"1847","자료","ja-ryo","materials, data","資料"
"1848","빠지다","bba-ji-da","to fall into;<div>to fall out, come off</div>",""
"1849","역할","yeog-har","role, part","役割"
"1850","웬일","wen-ir","what matter, what cause",""
"1851","관련하다","gwan-ryeon-ha-da","to be related to, connected with","關聯"
"1852","이미지","i-mi-ji","image",""
"1853","소녀","so-nyeo","young girl","少女"
"1854","막다","mag-da","to block, close",""
"1855","전문","jeon-mun","specialty","專門"
"1856","매표소","mae-pyo-so","ticket booth","賣票所"
"1857","알려지다","ar-ryeo-ji-da","to become known",""
"1858","민족","min-jog","people, ethnic group","民族"
"1859","짓","jis","act, behavior",""
"1860","다행히","da-haeng-hi","fortunately","多幸"
"1861","쓰이다","sseu-i-da","to be used, serve as;<div>to be written</div>",""
"1862","제품","je-pum","product, manufactured goods","製品"
"1863","국물","gug-mur","soup, broth",""
"1864","확실하다","hwag-sir-ha-da","to be certain, be reliable","確實"
"1865","여보","yeo-bo","Honey, Dear",""
"1866","감정","gam-jeong","feeling, emotion;<div>grudge, animosity;</div><div>appraisal, valuation</div>","感情,&nbsp;憾情,&nbsp;鑑定"
"1867","덮다","deop-da","to cover, shut, close",""
"1868","유리창","yu-ri-cang","glass window","琉璃窓"
"1869","회장","hoe-jang","president, chairman;<div>hall, venue</div>","會長,&nbsp;會場"
"1870","일으키다","ir-eu-ki-da","to raise, set somebody upright",""
"1871","절대","jeor-dae","absolutely, definitely","絶對"
"1872","골프","gor-peu","golf",""
"1873","개인","gae-in","individual","個人"
"1874","불리다","bur-ri-da","to be called, be invited;<div>to enrich oneself</div>",""
"1875","전쟁","jeon-jaeng","war","戰爭"
"1876","버섯","beo-seos","mushroom",""
"1877","해결하다","hae-gyeor-ha-da","to solve a question, problem","解決"
"1878","곰","gom","bear",""
"1879","불만","bur-man","dissatisfaction,&nbsp;complaint","不滿"
"1880","옮기다","orm-gi-da","to move, transfer",""
"1881","실내","sir-nae","indoors","室內"
"1882","항공권","hang-gong-gweon","airline ticket","航空券"
"1883","사라지다","sa-ra-ji-da","to disappear",""
"1884","연기","yeon-gi","acting, performance;<div>smoke</div>","演技, 煙氣"
"1885","제발","je-bar","please;<div>by all means</div>",""
"1886","현대","hyeon-dae","the present age, modern times","現代"
"1887","높이다","nop-i-da","to raise, make higher",""
"1888","실력","sir-ryeog","skill, ability","實力"
"1889","아시아","a-si-a","Asia",""
"1890","구하다","gu-ha-da","to look for, seek;<div>to rescue, save</div>","求"
"1891","나물","na-mur","seasoned vegetables",""
"1892","발표","bar-pyo","announcement, presentation","發表"
"1893","빵집","bbang-jib","bakery",""
"1894","환전하다","hwan-jeon-ha-da","to exchange money","換錢"
"1895","꽤","ggwae","substantially, fairly",""
"1896","세기","se-gi","century","世紀"
"1897","맡다","mat-da","to take charge of, undertake;<div>to smell, sniff, scent</div>",""
"1898","포도주","po-do-ju","wine","葡萄酒"
"1899","과제","gwa-je","task, assignment","課題"
"1900","늘어나다","neur-eo-na-da","<div>to grow longer;</div><div>to increase</div>",""
"1901","특징","teug-jing","distinguishing mark, characteristic","特徵"
"1902","막내","mag-nae","youngest child (in a family)",""
"1903","요새","yo-sae","these days, currently;<div>fortress</div>","要塞"
"1904","놓치다","noh-ci-da","to miss, let slip, fail to catch",""
"1905","이혼","i-hon","divorce","離婚"
"1906","모델","mo-der","model",""
"1907","대신하다","dae-sin-ha-da","to take the place of, act as a substitute","代身"
"1908","그대","geu-dae","you (poet.)",""
"1909","욕실","yog-sir","bathroom","浴室"
"1910","집다","jib-da","to pick up",""
"1911","장학금","jang-hag-geum","scholarship","奬學金"
"1912","단체","dan-ce","organization, association, group of people","團體"
"1913","가난하다","ga-nan-ha-da","to be poor",""
"1914","각종","gag-jong","every kind, various kinds","各種"
"1915","데","de","spot, place",""
"1916","회식","hoe-sig","dining together (among colleagues)","會食"
"1917","챙기다","caeng-gi-da","to gather, pack, put things in order;<div>to take care of</div>",""
"1918","과목","gwa-mog","subject, course","科目"
"1919","어쩌면","eo-jjeo-myeon","maybe",""
"1920","참가하다","cam-ga-ha-da","to participate, join","參加"
"1921","발목","bar-mog","ankle",""
"1922","조사","jo-sa","investigation, inquiry, survey;<div>postposition;</div><div>eulogy</div>","調査,&nbsp;助詞,&nbsp;弔辭·弔詞"
"1923","낡다","nark-da","to be old, worn",""
"1924","전문가","jeon-mun-ga","expert, specialist","專門家"
"1925","이하","i-ha","below, less than","以下"
"1926","따라오다","dda-ra-o-da","to follow, come with",""
"1927","지구","ji-gu","Earth, globe;<div>district, zone</div>","地球"
"1928","팬","paen","fan (a person)",""
"1929","명령","myeong-ryeong","order, command","命令"
